service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
105750045085,1,1,1,0,0,1,0,20250104,20250326
107050055087,0,0,0,1,1,0,1,20250105,20250328
112650455363,1,1,1,1,1,0,1,20250214,20251229
100150745363,0,0,0,0,0,1,0,20250315,20251229
200143645060,0,0,0,0,0,1,0,20241229,20250301
212643645036,1,1,1,1,1,0,1,20241229,20250205
112250385043,1,1,1,0,1,0,1,20250207,20250212
112750045039,1,1,1,1,1,1,1,20250104,20250208
106350415046,1,1,1,1,1,1,0,20250210,20250215
112750485066,1,1,1,1,1,1,1,20250217,20250307
112750685087,1,1,1,1,1,1,1,20250309,20250328
206743645005,0,0,0,0,1,1,1,20241229,20250105
110350095090,1,0,0,1,1,1,1,20250109,20250331
112750125066,1,1,1,1,1,1,1,20250112,20250307
112750135066,1,1,1,1,1,1,1,20250113,20250307
112450615363,1,1,1,1,0,0,1,20250302,20251229
100350735363,0,0,0,0,1,1,0,20250314,20251229
200343645066,0,0,0,0,1,1,0,20241229,20250307
210843645006,1,0,1,1,0,0,1,20241229,20250106
106050075044,1,1,1,1,0,0,0,20250107,20250213
106450125040,0,0,0,0,0,0,1,20250112,20250209
109650485054,1,0,0,0,0,0,1,20250217,20250223
106050495058,1,1,1,1,0,0,0,20250218,20250227
112050065043,1,1,1,0,0,0,1,20250106,20250212
100750095039,0,0,0,1,1,1,0,20250109,20250208
107150445053,0,0,0,1,1,1,1,20250213,20250222
105650485050,1,1,1,0,0,0,0,20250217,20250219
112050545057,1,1,1,0,0,0,1,20250223,20250226
112750585066,1,1,1,1,1,1,1,20250227,20250307
112752775363,1,1,1,1,1,1,1,20251004,20251229
112750685122,1,1,1,1,1,1,1,20250309,20250502
112751235276,1,1,1,1,1,1,1,20250503,20251003
206243645017,1,1,1,1,1,0,0,20241229,20250117
106250215045,1,1,1,1,1,0,0,20250121,20250214
103250205020,1,0,0,0,0,0,0,20250120,20250120
106250525363,1,1,1,1,1,0,0,20250221,20251229
100650445045,0,0,0,1,1,0,0,20250213,20250214
103650485051,1,0,0,1,0,0,0,20250217,20250220
106250215043,1,1,1,1,1,0,0,20250121,20250212
102450495050,0,1,1,0,0,0,0,20250218,20250219
