shape_id,distance
116480,118.03733526388045
116481,78.8413232230431
116482,89.97969952904181
116483,89.97969952904181
116484,89.97969952904181
116485,118.03733526388031
116486,118.03733526388031
116488,78.84132322304306
116489,118.03733526388031
116492,18.328333497273448
116497,82.71456873008374
116498,82.76309547020936
116499,58.3399857844102
116504,122.72623076061711
116513,64.39564992265184
116542,82.7145784734804
116543,58.3399857844102
116549,122.72623076061718
116564,64.4347619729359
116566,64.4347619729359
116576,64.39564992265184
116579,59.115018621356725
116580,59.115018621356725
116581,59.115018621356725
116582,59.115018621356725
116583,59.115018621356725
116584,59.115018621356725
116585,59.115018621356725
116586,59.115018621356725
116588,59.11501862135681
116589,59.11501862135681
116592,59.11501862135681
116593,59.11501862135681
116595,59.11501862135681
116598,59.11501862135681
116473,89.97969952904195
116474,89.97969952904195
116475,89.97969952904195
116476,78.8413232230431
116477,118.03733526388045
116478,78.8413232230431
116479,118.03733526388045
