route_id,route_short_name,route_long_name,route_desc,agency_id,route_type,route_color,route_text_color,route_url
BNSF,BNSF,BurlingtonNorthern,,METRA,2,29C233,000000,https://metrarail.com/maps-schedules/train-lines/BNSF
HC,HC,HeritageCorridor,,METRA,2,550E0C,FFFFFF,https://metrarail.com/maps-schedules/train-lines/HC
MD-N,MD-N,MilwaukeeNorth,,METRA,2,CC5500,FFFFFF,https://metrarail.com/maps-schedules/train-lines/MD-N
MD-W,MD-W,MilwaukeeWest,,METRA,2,F1AD0E,000000,https://metrarail.com/maps-schedules/train-lines/MD-W
ME,ME,MetraElectric,,METRA,2,EB5C00,FFFFFF,https://metrarail.com/maps-schedules/train-lines/ME
NCS,NCS,NorthCentralService,,METRA,2,9785BC,FFFFFF,https://metrarail.com/maps-schedules/train-lines/NCS
RI,RI,RockIsland,,METRA,2,E02400,FFFFFF,https://metrarail.com/maps-schedules/train-lines/RI
SWS,SWS,SouthwestService,,METRA,2,0042A8,FFFFFF,https://metrarail.com/maps-schedules/train-lines/SWS
UP-N,UP-N,UnionPacificNorth,,METRA,2,008000,FFFFFF,https://metrarail.com/maps-schedules/train-lines/UP-N
UP-NW,UP-NW,UnionPacificNorthwest,,METRA,2,FFE600,000000,https://metrarail.com/maps-schedules/train-lines/UP-NW
UP-W,UP-W,UnionPacificWest,,METRA,2,FE8D81,000000,https://metrarail.com/maps-schedules/train-lines/UP-W
