trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
304-Summer,06:28:00,06:28:00,B0B4F69638D547C988E9A71DB08D3BBC,9,,,,73291
304-Summer,06:40:00,06:40:00,60ADB9309B084464BBCC2C1ABCD908E8,10,,,,85392
304-Summer,06:49:00,06:49:00,8E0AECA660E44BA39BDF374FF1D09F96,11,,,,91926
304-Summer,06:57:00,06:57:00,BC30329248DF4E6E8A114C0822124408,12,,,,96031
304-Summer,07:05:00,07:05:00,C9C9EEB6CE1A46C3BD0901F3F225933E,13,,,,98955
305-Summer,15:30:00,15:30:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
305-Summer,15:38:00,15:38:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
305-Summer,15:45:00,15:45:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7029
305-Summer,15:53:00,15:53:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13563
305-Summer,16:04:00,16:04:00,B0B4F69638D547C988E9A71DB08D3BBC,5,,,,25664
305-Summer,16:11:00,16:11:00,86470B019FB24F4E9102A97F07848105,6,,,,33086
305-Summer,16:19:00,16:19:00,7113724B905946399163A4CB5AAB66A1,7,,,,40387
305-Summer,16:25:00,16:25:00,BD92F07447C74C9DA620D889725EF244,8,,,,45729
305-Summer,16:37:00,16:37:00,34EA179D31FE4CA5A9A5A42D9CCE8156,9,,,,57110
305-Summer,16:56:00,16:56:00,5E1E78E6CA654F5AA0E2FE485DA71495,10,,,,74832
305-Summer,17:05:00,17:05:00,E67A53B0B9AB4E619C21D7C16C034501,11,,,,82279
305-Summer,17:13:00,17:13:00,62E201E23B5148898D8B3B73B9395B4B,12,,,,88915
305-Summer,17:26:00,17:26:00,078CADB54DE04AA996C133AEDEE8BB5F,13,,,,98955
306-Summer,05:41:00,05:41:00,078CADB54DE04AA996C133AEDEE8BB5F,1,,,,0
306-Summer,05:52:00,05:52:00,62E201E23B5148898D8B3B73B9395B4B,2,,,,10040
306-Summer,05:59:00,05:59:00,E67A53B0B9AB4E619C21D7C16C034501,3,,,,16676
306-Summer,06:05:00,06:05:00,5E1E78E6CA654F5AA0E2FE485DA71495,4,,,,24123
306-Summer,06:17:00,06:17:00,34EA179D31FE4CA5A9A5A42D9CCE8156,5,,,,41845
306-Summer,06:26:00,06:26:00,BD92F07447C74C9DA620D889725EF244,6,,,,53226
306-Summer,06:33:00,06:33:00,7113724B905946399163A4CB5AAB66A1,7,,,,58568
306-Summer,06:40:00,06:40:00,86470B019FB24F4E9102A97F07848105,8,,,,65869
306-Summer,06:48:00,06:48:00,B0B4F69638D547C988E9A71DB08D3BBC,9,,,,73291
306-Summer,07:00:00,07:00:00,60ADB9309B084464BBCC2C1ABCD908E8,10,,,,85392
306-Summer,07:09:00,07:09:00,8E0AECA660E44BA39BDF374FF1D09F96,11,,,,91926
306-Summer,07:17:00,07:17:00,BC30329248DF4E6E8A114C0822124408,12,,,,96031
306-Summer,07:25:00,07:25:00,C9C9EEB6CE1A46C3BD0901F3F225933E,13,,,,98955
307-Summer,16:00:00,16:00:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
307-Summer,16:08:00,16:08:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
307-Summer,16:15:00,16:15:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7029
307-Summer,16:23:00,16:23:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13563
307-Summer,16:34:00,16:34:00,B0B4F69638D547C988E9A71DB08D3BBC,5,,,,25664
307-Summer,16:41:00,16:41:00,86470B019FB24F4E9102A97F07848105,6,,,,33086
307-Summer,16:49:00,16:49:00,7113724B905946399163A4CB5AAB66A1,7,,,,40387
307-Summer,16:55:00,16:55:00,BD92F07447C74C9DA620D889725EF244,8,,,,45729
307-Summer,17:07:00,17:07:00,34EA179D31FE4CA5A9A5A42D9CCE8156,9,,,,57110
307-Summer,17:26:00,17:26:00,5E1E78E6CA654F5AA0E2FE485DA71495,10,,,,74832
307-Summer,17:35:00,17:35:00,E67A53B0B9AB4E619C21D7C16C034501,11,,,,82279
307-Summer,17:43:00,17:43:00,62E201E23B5148898D8B3B73B9395B4B,12,,,,88915
307-Summer,17:56:00,17:56:00,078CADB54DE04AA996C133AEDEE8BB5F,13,,,,98955
308-Summer,06:01:00,06:01:00,078CADB54DE04AA996C133AEDEE8BB5F,1,,,,0
308-Summer,06:12:00,06:12:00,62E201E23B5148898D8B3B73B9395B4B,2,,,,10040
308-Summer,06:19:00,06:19:00,E67A53B0B9AB4E619C21D7C16C034501,3,,,,16676
308-Summer,06:25:00,06:25:00,5E1E78E6CA654F5AA0E2FE485DA71495,4,,,,24123
308-Summer,06:37:00,06:37:00,34EA179D31FE4CA5A9A5A42D9CCE8156,5,,,,41845
308-Summer,06:46:00,06:46:00,BD92F07447C74C9DA620D889725EF244,6,,,,53226
308-Summer,06:53:00,06:53:00,7113724B905946399163A4CB5AAB66A1,7,,,,58568
308-Summer,07:00:00,07:00:00,86470B019FB24F4E9102A97F07848105,8,,,,65869
308-Summer,07:08:00,07:08:00,B0B4F69638D547C988E9A71DB08D3BBC,9,,,,73291
308-Summer,07:20:00,07:20:00,60ADB9309B084464BBCC2C1ABCD908E8,10,,,,85392
308-Summer,07:29:00,07:29:00,8E0AECA660E44BA39BDF374FF1D09F96,11,,,,91926
308-Summer,07:37:00,07:37:00,BC30329248DF4E6E8A114C0822124408,12,,,,96031
308-Summer,07:45:00,07:45:00,C9C9EEB6CE1A46C3BD0901F3F225933E,13,,,,98955
