shape_id,distance
shp-HART-61,99.82916059800384
shp-HART-14,59.0104451477376
shp-HART-60,99.82916059800384
shp-HART-12,59.0104451477376
shp-HART-66,76.32885624170437
shp-HART-58,59.00226363305609
shp-HART-13,99.84933917118322
shp-HART-05,99.84933917118322
shp-HART-56,99.82916059800384
shp-HART-57,59.00226363305609
shp-HART-55,99.82916059800384
shp-HART-21,99.82916059800384
shp-HART-01,99.84933917118322
shp-HART-03,99.84933917118322
shp-HART-02,59.0104451477376
shp-HART-52,59.00226363305609
shp-HART-08,99.84933917118322
shp-HART-51,99.82916059800384
shp-HART-11,59.0104451477376
shp-HART-64,99.82916059800384
shp-HART-63,99.82916059800384
shp-HART-09,99.84933917118322
shp-HART-59,59.00226363305609
shp-HART-10,99.84933917118322
shp-HART-06,59.0104451477376
shp-HART-65,99.82916059800384
shp-HART-17,99.84933917118322
shp-HART-54,59.00226363305609
shp-HART-07,99.84933917118322
shp-HART-04,59.0104451477376
shp-HART-72,99.84933917118322
shp-HART-53,59.00226363305609
shp-HART-62,99.82916059800384
