,stop_name,1500.0 (Seattle - Tacoma/Lakewood),1501.0 (Seattle - Tacoma/Lakewood),1502.0 (Seattle - Tacoma/Lakewood),1503.0 (Seattle - Tacoma/Lakewood),1504.0 (Seattle - Tacoma/Lakewood),1505.0 (Seattle - Tacoma/Lakewood),1506.0 (Seattle - Tacoma/Lakewood),1507.0 (Seattle - Tacoma/Lakewood),1508.0 (Seattle - Tacoma/Lakewood),1509.0 (Seattle - Tacoma/Lakewood),1510.0 (Seattle - Tacoma/Lakewood),1511.0 (Seattle - Tacoma/Lakewood),1512.0 (Seattle - Tacoma/Lakewood),1513.0 (Seattle - Tacoma/Lakewood),1514.0 (Seattle - Tacoma/Lakewood),1515.0 (Seattle - Tacoma/Lakewood),1516.0 (Seattle - Tacoma/Lakewood),1517.0 (Seattle - Tacoma/Lakewood),1518.0 (Seattle - Tacoma/Lakewood),1519.0 (Seattle - Tacoma/Lakewood),1520.0 (Seattle - Tacoma/Lakewood),1521.0 (Seattle - Tacoma/Lakewood),1522.0 (Seattle - Tacoma/Lakewood),1523.0 (Seattle - Tacoma/Lakewood),1524.0 (Seattle - Tacoma/Lakewood),1525.0 (Seattle - Tacoma/Lakewood),1700.0 (Everett - Seattle),1701.0 (Everett - Seattle),1702.0 (Everett - Seattle),1703.0 (Everett - Seattle),1704.0 (Everett - Seattle),1705.0 (Everett - Seattle),1706.0 (Everett - Seattle),1707.0 (Everett - Seattle),nan (Lynnwood - Angle Lake),nan (South Bellevue - Redmond Tech),nan (Tacoma Dome - St Joseph)
140,Sumner Station,05:08:00 (5),06:42:00 (5),05:33:00 (5),07:12:00 (5),05:58:00 (5),08:32:00 (5),06:18:00 (5),15:12:00 (5),06:38:00 (5),15:52:00 (5),06:58:00 (5),16:12:00 (5),07:18:00 (5),16:32:00 (5),07:38:00 (3),16:52:00 (5),08:08:00 (5),17:12:00 (5),10:43:00 (5),17:32:00 (5),16:23:00 (5),17:57:00 (5),16:47:00 (3),18:22:00 (5),17:32:00 (5),19:07:00 (5),,,,,,,,,,,
141,Tacoma Dome Station,04:50:00 (3),07:06:00 (7),05:15:00 (3),07:36:00 (7),05:40:00 (3),08:50:00 (7),06:00:00 (3),15:37:00 (7),06:20:00 (3),16:17:00 (7),06:40:00 (3),16:30:00 (7),07:00:00 (3),16:57:00 (7),07:20:00 (1),17:10:00 (7),07:50:00 (3),17:30:00 (7),10:25:00 (3),17:50:00 (7),16:06:00 (3),18:15:00 (7),16:30:00 (1),18:40:00 (7),17:15:00 (3),19:25:00 (7),,,,,,,,,,,
142,Tacoma Dome Station,04:50:00 (3),07:06:00 (7),05:15:00 (3),07:36:00 (7),05:40:00 (3),08:50:00 (7),06:00:00 (3),15:37:00 (7),06:20:00 (3),16:17:00 (7),06:40:00 (3),16:30:00 (7),07:00:00 (3),16:57:00 (7),07:20:00 (1),17:10:00 (7),07:50:00 (3),17:30:00 (7),10:25:00 (3),17:50:00 (7),16:06:00 (3),18:15:00 (7),16:30:00 (1),18:40:00 (7),17:15:00 (3),19:25:00 (7),,,,,,,,,,,
143,Tukwila Station,05:32:00 (8),06:18:00 (2),05:57:00 (8),06:48:00 (2),06:22:00 (8),08:08:00 (2),06:42:00 (8),14:48:00 (2),07:02:00 (8),15:28:00 (2),07:22:00 (8),15:48:00 (2),07:42:00 (8),16:08:00 (2),08:02:00 (6),16:28:00 (2),08:32:00 (8),16:48:00 (2),11:07:00 (8),17:08:00 (2),16:47:00 (8),17:33:00 (2),17:11:00 (6),17:58:00 (2),17:56:00 (8),18:43:00 (2),,,,,,,,,,,
144,Tukwila Station,05:32:00 (8),06:18:00 (2),05:57:00 (8),06:48:00 (2),06:22:00 (8),08:08:00 (2),06:42:00 (8),14:48:00 (2),07:02:00 (8),15:28:00 (2),07:22:00 (8),15:48:00 (2),07:42:00 (8),16:08:00 (2),08:02:00 (6),16:28:00 (2),08:32:00 (8),16:48:00 (2),11:07:00 (8),17:08:00 (2),16:47:00 (8),17:33:00 (2),17:11:00 (6),17:58:00 (2),17:56:00 (8),18:43:00 (2),,,,,,,,,,,
145,Tacoma Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:11:00 (12)
146,S 25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:09:00 (11)
147,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:06:00 (10)
148,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:06:00 (10)
149,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:06:00 (10)
