,stop_name,6313 (Barrie),6314 (Barrie),6315 (Barrie),6316 (Barrie),6317 (Barrie),6318 (Barrie),6322 (Barrie),6329 (Barrie),6331 (Barrie),6332 (Barrie),6333 (Barrie),6334 (Barrie),6504 (Barrie),6521 (Barrie),6606 (Barrie),6608 (Barrie),6627 (Barrie),6727 (Barrie),6806 (Barrie),6808 (Barrie),6825 (Barrie),6908 (Barrie),6910 (Barrie),6911 (Barrie),6912 (Barrie),6919 (Barrie),6920 (Barrie),6923 (Barrie),6927 (Barrie),6935 (Barrie),6936 (Barrie),6937 (Barrie),3009 (Kitchener),3011 (Kitchener),3015 (Kitchener),3017 (Kitchener),3019 (Kitchener),3021 (Kitchener),3023 (Kitchener),3025 (Kitchener),3031 (Kitchener),3033 (Kitchener),3035 (Kitchener),3037 (Kitchener),3108 (Kitchener),3110 (Kitchener),3126 (Kitchener),3128 (Kitchener),3205 (Kitchener),3207 (Kitchener),3209 (Kitchener),3227 (Kitchener),3308 (Kitchener),3310 (Kitchener),3312 (Kitchener),3316 (Kitchener),3318 (Kitchener),3320 (Kitchener),3322 (Kitchener),3328 (Kitchener),3332 (Kitchener),3334 (Kitchener),3336 (Kitchener),3338 (Kitchener),3414 (Kitchener),3416 (Kitchener),3420 (Kitchener),3422 (Kitchener),3432 (Kitchener),3434 (Kitchener),3513 (Kitchener),3515 (Kitchener),3519 (Kitchener),3521 (Kitchener),3529 (Kitchener),3531 (Kitchener),3533 (Kitchener),3539 (Kitchener),3604 (Kitchener),3606 (Kitchener),3625 (Kitchener),3627 (Kitchener),3812 (Kitchener),3818 (Kitchener),3824 (Kitchener),3829 (Kitchener),3836 (Kitchener),3858 (Kitchener),3860 (Kitchener),3875 (Kitchener),3877 (Kitchener),3904 (Kitchener),3906 (Kitchener),3911 (Kitchener),3917 (Kitchener),3923 (Kitchener),3935 (Kitchener),3937 (Kitchener),3958 (Kitchener),3960 (Kitchener),3975 (Kitchener),3977 (Kitchener),9004 (Lakeshore East),9005 (Lakeshore East),9006 (Lakeshore East),9007 (Lakeshore East),9008 (Lakeshore East),9009 (Lakeshore East),9010 (Lakeshore East),9011 (Lakeshore East),9013 (Lakeshore East),9015 (Lakeshore East),9017 (Lakeshore East),9019 (Lakeshore East),9021 (Lakeshore East),9023 (Lakeshore East),9024 (Lakeshore East),9025 (Lakeshore East),9026 (Lakeshore East),9027 (Lakeshore East),9029 (Lakeshore East),9031 (Lakeshore East),9032 (Lakeshore East),9033 (Lakeshore East),9035 (Lakeshore East),9037 (Lakeshore East),9039 (Lakeshore East),9041 (Lakeshore East),9109 (Lakeshore East),9112 (Lakeshore East),9114 (Lakeshore East),9116 (Lakeshore East),9118 (Lakeshore East),9120 (Lakeshore East),9122 (Lakeshore East),9124 (Lakeshore East),9126 (Lakeshore East),9128 (Lakeshore East),9130 (Lakeshore East),9134 (Lakeshore East),9136 (Lakeshore East),9138 (Lakeshore East),9140 (Lakeshore East),9204 (Lakeshore East),9205 (Lakeshore East),9206 (Lakeshore East),9207 (Lakeshore East),9208 (Lakeshore East),9209 (Lakeshore East),9211 (Lakeshore East),9213 (Lakeshore East),9215 (Lakeshore East),9217 (Lakeshore East),9219 (Lakeshore East),9221 (Lakeshore East),9223 (Lakeshore East),9224 (Lakeshore East),9225 (Lakeshore East),9226 (Lakeshore East),9227 (Lakeshore East),9229 (Lakeshore East),9231 (Lakeshore East),9233 (Lakeshore East),9235 (Lakeshore East),9237 (Lakeshore East),9239 (Lakeshore East),9241 (Lakeshore East),9307 (Lakeshore East),9309 (Lakeshore East),9310 (Lakeshore East),9312 (Lakeshore East),9314 (Lakeshore East),9316 (Lakeshore East),9318 (Lakeshore East),9320 (Lakeshore East),9322 (Lakeshore East),9324 (Lakeshore East),9326 (Lakeshore East),9328 (Lakeshore East),9330 (Lakeshore East),9332 (Lakeshore East),9334 (Lakeshore East),9336 (Lakeshore East),9338 (Lakeshore East),9340 (Lakeshore East),1004 (Lakeshore West),1005 (Lakeshore West),1006 (Lakeshore West),1007 (Lakeshore West),1009 (Lakeshore West),1011 (Lakeshore West),1012 (Lakeshore West),1013 (Lakeshore West),1014 (Lakeshore West),1015 (Lakeshore West),1016 (Lakeshore West),1017 (Lakeshore West),1018 (Lakeshore West),1019 (Lakeshore West),1020 (Lakeshore West),1021 (Lakeshore West),1022 (Lakeshore West),1023 (Lakeshore West),1024 (Lakeshore West),1026 (Lakeshore West),1028 (Lakeshore West),1029 (Lakeshore West),1030 (Lakeshore West),1031 (Lakeshore West),1032 (Lakeshore West),1033 (Lakeshore West),1034 (Lakeshore West),1035 (Lakeshore West),1036 (Lakeshore West),1037 (Lakeshore West),1038 (Lakeshore West),1039 (Lakeshore West),1040 (Lakeshore West),1041 (Lakeshore West),1075 (Lakeshore West),1077 (Lakeshore West),1108 (Lakeshore West),1110 (Lakeshore West),1125 (Lakeshore West),1127 (Lakeshore West),1256 (Lakeshore West),1258 (Lakeshore West),1306 (Lakeshore West),1308 (Lakeshore West),1310 (Lakeshore West),1323 (Lakeshore West),1325 (Lakeshore West),1327 (Lakeshore West),1704 (Lakeshore West),1705 (Lakeshore West),1707 (Lakeshore West),1709 (Lakeshore West),1710 (Lakeshore West),1711 (Lakeshore West),1712 (Lakeshore West),1713 (Lakeshore West),1714 (Lakeshore West),1715 (Lakeshore West),1716 (Lakeshore West),1717 (Lakeshore West),1718 (Lakeshore West),1719 (Lakeshore West),1720 (Lakeshore West),1721 (Lakeshore West),1722 (Lakeshore West),1724 (Lakeshore West),1726 (Lakeshore West),1727 (Lakeshore West),1728 (Lakeshore West),1729 (Lakeshore West),1730 (Lakeshore West),1731 (Lakeshore West),1732 (Lakeshore West),1733 (Lakeshore West),1734 (Lakeshore West),1735 (Lakeshore West),1736 (Lakeshore West),1737 (Lakeshore West),1738 (Lakeshore West),1739 (Lakeshore West),1740 (Lakeshore West),1741 (Lakeshore West),1756 (Lakeshore West),1758 (Lakeshore West),1775 (Lakeshore West),1777 (Lakeshore West),1854 (Lakeshore West),1856 (Lakeshore West),1858 (Lakeshore West),1860 (Lakeshore West),1873 (Lakeshore West),1875 (Lakeshore West),1877 (Lakeshore West),1879 (Lakeshore West),1960 (Lakeshore West),1961 (Lakeshore West),1972 (Lakeshore West),1977 (Lakeshore West),1988 (Lakeshore West),X1987 (Lakeshore West),2706 (Milton),2710 (Milton),2712 (Milton),2714 (Milton),2716 (Milton),2718 (Milton),2720 (Milton),2722 (Milton),2723 (Milton),2724 (Milton),2726 (Milton),2727 (Milton),2729 (Milton),2731 (Milton),2735 (Milton),2737 (Milton),2739 (Milton),2741 (Milton),2745 (Milton),2749 (Milton),5006 (Richmond Hill),5008 (Richmond Hill),5010 (Richmond Hill),5127 (Richmond Hill),5208 (Richmond Hill),5323 (Richmond Hill),5325 (Richmond Hill),5327 (Richmond Hill),5329 (Richmond Hill),7410 (Stouffville),7412 (Stouffville),7414 (Stouffville),7415 (Stouffville),7416 (Stouffville),7417 (Stouffville),7418 (Stouffville),7419 (Stouffville),7420 (Stouffville),7421 (Stouffville),7423 (Stouffville),7425 (Stouffville),7428 (Stouffville),7430 (Stouffville),7432 (Stouffville),7433 (Stouffville),7434 (Stouffville),7435 (Stouffville),7436 (Stouffville),7437 (Stouffville),7439 (Stouffville),7622 (Stouffville),7624 (Stouffville),7626 (Stouffville),7638 (Stouffville),7640 (Stouffville),7705 (Stouffville),7707 (Stouffville),7709 (Stouffville),7711 (Stouffville),7713 (Stouffville),7824 (Stouffville),7826 (Stouffville),7907 (Stouffville),7909 (Stouffville)
10,Rouge Hill GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:39:00 (17),05:30:00 (12),07:39:00 (17),06:35:00 (12),08:43:00 (17),07:35:00 (12),09:39:00 (17),08:35:00 (12),09:35:00 (12),10:35:00 (12),11:35:00 (12),12:35:00 (12),13:35:00 (12),14:35:00 (12),16:39:00 (17),15:35:00 (12),17:39:00 (17),16:35:00 (12),17:35:00 (12),18:35:00 (12),20:54:00 (17),19:35:00 (12),20:35:00 (12),21:35:00 (12),22:35:00 (12),23:35:00 (12),07:50:00 (12),10:54:00 (17),11:54:00 (17),12:54:00 (17),13:54:00 (17),14:54:00 (17),15:54:00 (17),16:54:00 (17),17:54:00 (17),18:54:00 (17),19:54:00 (17),21:54:00 (17),22:54:00 (17),23:54:00 (17),24:54:00 (17),07:09:00 (17),06:00:00 (12),08:13:00 (17),07:05:00 (12),09:13:00 (17),08:05:00 (12),09:05:00 (12),10:05:00 (12),11:05:00 (12),12:05:00 (12),13:05:00 (12),14:05:00 (12),15:05:00 (12),17:09:00 (17),16:05:00 (12),18:09:00 (17),17:05:00 (12),18:05:00 (12),19:05:00 (12),20:05:00 (12),21:05:00 (12),22:05:00 (12),23:05:00 (12),24:04:00 (12),07:20:00 (12),08:20:00 (12),10:24:00 (17),11:24:00 (17),12:24:00 (17),13:24:00 (17),14:24:00 (17),15:24:00 (17),16:24:00 (17),17:24:00 (17),18:24:00 (17),19:24:00 (17),20:24:00 (17),21:24:00 (17),22:24:00 (17),23:24:00 (17),24:24:00 (17),25:27:00 (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Richmond Hill GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:11:00 (7),07:11:00 (7),08:11:00 (7),18:04:00 (23),07:41:00 (7),16:34:00 (23),17:34:00 (23),18:34:00 (23),19:34:00 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Port Credit GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:30:00 (20),06:38:00 (15),06:30:00 (20),07:44:00 (15),08:44:00 (15),09:45:00 (15),09:44:00 (20),10:45:00 (15),10:44:00 (20),11:45:00 (15),11:44:00 (20),12:45:00 (15),12:44:00 (20),13:45:00 (15),13:44:00 (20),14:45:00 (15),14:44:00 (20),15:45:00 (15),15:44:00 (20),16:45:00 (20),17:45:00 (20),18:46:00 (15),18:43:00 (20),19:46:00 (15),19:43:00 (20),20:46:00 (15),20:43:00 (20),21:46:00 (15),21:43:00 (20),22:46:00 (15),22:43:00 (20),23:46:00 (15),23:43:00 (20),24:46:00 (15),,,07:34:00 (8),08:34:00 (8),16:33:00 (15),17:33:00 (15),,,07:04:00 (8),08:04:00 (8),08:50:00 (8),16:03:00 (15),17:03:00 (15),18:03:00 (15),06:00:00 (27),07:08:00 (15),08:14:00 (15),09:15:00 (15),09:14:00 (27),10:15:00 (15),10:14:00 (27),11:15:00 (15),11:14:00 (27),12:15:00 (15),12:14:00 (27),13:15:00 (15),13:14:00 (27),14:15:00 (15),14:14:00 (27),15:15:00 (15),15:14:00 (27),16:15:00 (27),17:14:00 (27),18:16:00 (15),18:14:00 (27),19:16:00 (15),19:13:00 (27),20:16:00 (15),20:13:00 (27),21:16:00 (15),21:13:00 (27),22:16:00 (15),22:13:00 (27),23:16:00 (15),23:13:00 (27),24:16:00 (15),24:14:00 (27),25:17:00 (15),,,,,,,,,,,,,,09:32:00 (15),15:02:00 (43),,23:03:00 (43),22:45:00 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pickering GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:47:00 (20),05:23:00 (9),07:47:00 (20),06:28:00 (9),08:51:00 (20),07:28:00 (9),09:47:00 (20),08:28:00 (9),09:28:00 (9),10:28:00 (9),11:28:00 (9),12:28:00 (9),13:28:00 (9),14:28:00 (9),16:47:00 (20),15:28:00 (9),17:47:00 (20),16:28:00 (9),17:28:00 (9),18:28:00 (9),21:02:00 (20),19:28:00 (9),20:28:00 (9),21:28:00 (9),22:28:00 (9),23:28:00 (9),07:43:00 (9),11:02:00 (20),12:02:00 (20),13:02:00 (20),14:02:00 (20),15:02:00 (20),16:02:00 (20),17:02:00 (20),18:02:00 (20),19:02:00 (20),20:02:00 (20),22:02:00 (20),23:02:00 (20),24:02:00 (20),25:02:00 (20),07:17:00 (20),05:53:00 (9),08:21:00 (20),06:58:00 (9),09:21:00 (20),07:58:00 (9),08:58:00 (9),09:58:00 (9),10:58:00 (9),11:58:00 (9),12:58:00 (9),13:58:00 (9),14:58:00 (9),17:17:00 (20),15:58:00 (9),18:17:00 (20),16:58:00 (9),17:58:00 (9),18:58:00 (9),19:58:00 (9),20:58:00 (9),21:58:00 (9),22:58:00 (9),23:57:00 (9),07:13:00 (9),08:13:00 (9),10:32:00 (20),11:32:00 (20),12:32:00 (20),13:32:00 (20),14:32:00 (20),15:32:00 (20),16:32:00 (20),17:32:00 (20),18:32:00 (20),19:32:00 (20),20:32:00 (20),21:32:00 (20),22:32:00 (20),23:32:00 (20),24:32:00 (20),25:35:00 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Durham College Oshawa GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:07:00 (28),05:05:00 (1),08:07:00 (28),06:10:00 (1),09:11:00 (28),07:10:00 (1),10:07:00 (28),08:10:00 (1),09:10:00 (1),10:10:00 (1),11:10:00 (1),12:10:00 (1),13:10:00 (1),14:10:00 (1),17:07:00 (28),15:10:00 (1),18:07:00 (28),16:10:00 (1),17:10:00 (1),18:10:00 (1),21:22:00 (28),19:10:00 (1),20:10:00 (1),21:10:00 (1),22:10:00 (1),23:10:00 (1),07:25:00 (1),11:22:00 (28),12:22:00 (28),13:22:00 (28),14:22:00 (28),15:22:00 (28),16:22:00 (28),17:22:00 (28),18:22:00 (28),19:22:00 (28),20:22:00 (28),22:22:00 (28),23:22:00 (28),24:22:00 (28),25:22:00 (28),07:37:00 (28),05:35:00 (1),08:41:00 (28),06:40:00 (1),09:41:00 (28),07:40:00 (1),08:40:00 (1),09:40:00 (1),10:40:00 (1),11:40:00 (1),12:40:00 (1),13:40:00 (1),14:40:00 (1),17:37:00 (28),15:40:00 (1),18:37:00 (28),16:40:00 (1),17:40:00 (1),18:40:00 (1),19:40:00 (1),20:40:00 (1),21:40:00 (1),22:40:00 (1),23:39:00 (1),06:55:00 (1),07:55:00 (1),10:52:00 (28),11:52:00 (28),12:52:00 (28),13:52:00 (28),14:52:00 (28),15:52:00 (28),16:52:00 (28),17:52:00 (28),18:52:00 (28),19:52:00 (28),20:52:00 (28),21:52:00 (28),22:52:00 (28),23:52:00 (28),24:52:00 (28),25:55:00 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Oriole GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:30:00 (16),07:30:00 (16),08:30:00 (16),17:45:00 (14),08:00:00 (16),16:15:00 (14),17:15:00 (14),18:15:00 (14),19:15:00 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Old Cummer GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25:00 (15),07:25:00 (15),08:25:00 (15),17:50:00 (15),07:55:00 (15),16:20:00 (15),17:20:00 (15),18:20:00 (15),19:20:00 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Oakville GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:17:00 (13),06:52:00 (22),06:17:00 (13),07:58:00 (22),08:58:00 (22),09:59:00 (22),09:31:00 (13),10:59:00 (22),10:31:00 (13),11:59:00 (22),11:31:00 (13),12:59:00 (22),12:31:00 (13),13:59:00 (22),13:31:00 (13),14:59:00 (22),14:31:00 (13),15:59:00 (22),15:31:00 (13),16:32:00 (13),17:31:00 (13),19:00:00 (22),18:30:00 (13),20:00:00 (22),19:30:00 (13),21:00:00 (22),20:30:00 (13),22:00:00 (22),21:30:00 (13),23:00:00 (22),22:30:00 (13),24:01:00 (22),23:30:00 (13),25:00:00 (22),17:02:00 (22),18:02:00 (22),07:21:00 (1),08:21:00 (1),16:49:00 (22),17:49:00 (22),07:14:00 (13),08:14:00 (13),06:51:00 (1),07:51:00 (1),08:37:00 (1),16:19:00 (22),17:19:00 (22),18:19:00 (22),05:47:00 (20),07:22:00 (22),08:28:00 (22),09:29:00 (22),09:01:00 (20),10:29:00 (22),10:01:00 (20),11:29:00 (22),11:01:00 (20),12:29:00 (22),12:01:00 (20),13:29:00 (22),13:01:00 (20),14:29:00 (22),14:01:00 (20),15:29:00 (22),15:01:00 (20),16:02:00 (20),17:00:00 (20),18:30:00 (22),18:00:00 (20),19:30:00 (22),19:00:00 (20),20:30:00 (22),20:00:00 (20),21:30:00 (22),21:00:00 (20),22:30:00 (22),22:00:00 (20),23:30:00 (22),23:00:00 (20),24:30:00 (22),24:01:00 (20),25:31:00 (22),06:44:00 (20),07:45:00 (20),16:31:00 (22),17:31:00 (22),06:29:00 (22),06:59:00 (22),07:29:00 (22),07:59:00 (22),16:23:00 (22),16:53:00 (22),17:23:00 (22),18:23:00 (22),08:31:00 (38),09:43:00 (22),14:50:00 (36),17:53:00 (22),22:51:00 (36),22:58:00 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Niagara Falls GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:30:00 (1),11:26:00 (57),13:09:00 (1),19:58:00 (59),21:09:00 (1),24:42:00 (57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Newmarket GO,,,,,,,,,,,,,05:33:00 (4),16:02:00 (25),06:01:00 (11),07:01:00 (11),18:11:00 (25),18:26:00 (25),06:31:00 (11),07:31:00 (11),17:41:00 (25),07:46:00 (11),08:46:00 (11),10:52:00 (25),09:46:00 (11),14:59:00 (25),13:52:00 (11),16:56:00 (25),18:56:00 (25),23:00:00 (25),21:54:00 (11),23:54:00 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Markham GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:02:00 (22),11:02:00 (22),12:02:00 (22),10:38:00 (3),13:02:00 (22),11:38:00 (3),14:02:00 (22),12:38:00 (3),15:02:00 (22),13:38:00 (3),14:38:00 (3),15:38:00 (3),19:02:00 (22),20:02:00 (22),21:02:00 (22),19:38:00 (3),22:02:00 (22),20:38:00 (3),23:02:00 (22),21:38:00 (3),22:38:00 (3),16:02:00 (22),17:02:00 (22),18:02:00 (22),24:02:00 (22),25:02:00 (22),05:37:00 (6),06:37:00 (6),07:37:00 (6),08:37:00 (6),09:38:00 (6),17:32:00 (22),18:32:00 (22),07:07:00 (6),08:07:00 (6)
21,Maple GO,11:28:00 (16),11:14:00 (7),12:27:00 (16),12:12:00 (7),13:27:00 (16),13:12:00 (7),15:21:00 (7),19:27:00 (16),20:27:00 (16),20:12:00 (7),21:27:00 (16),21:12:00 (7),05:59:00 (13),15:36:00 (16),06:29:00 (20),07:29:00 (20),17:42:00 (16),17:57:00 (16),06:59:00 (20),07:59:00 (20),17:12:00 (16),08:14:00 (20),09:14:00 (20),10:27:00 (16),10:12:00 (20),14:34:00 (16),14:18:00 (20),16:27:00 (16),18:27:00 (16),22:34:00 (16),22:19:00 (20),23:28:00 (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mount Pleasant GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40:00 (1),11:42:00 (1),13:42:00 (1),14:42:00 (1),19:42:00 (1),20:42:00 (1),11:22:00 (24),12:23:00 (24),14:23:00 (24),15:23:00 (24),19:23:00 (24),20:23:00 (24),21:23:00 (24),24:23:00 (24),05:40:00 (6),06:40:00 (6),17:23:00 (24),17:53:00 (24),09:39:00 (18),12:42:00 (18),15:42:00 (18),18:53:00 (24),21:42:00 (18),07:33:00 (18),08:33:00 (18),17:00:00 (24),18:00:00 (24),06:10:00 (18),07:10:00 (18),10:22:00 (24),13:23:00 (24),16:23:00 (24),22:23:00 (24),23:23:00 (24),08:03:00 (18),09:03:00 (18),17:30:00 (24),18:34:00 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Milton GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00:00 (1),06:30:00 (1),06:45:00 (1),07:00:00 (1),07:15:00 (1),07:30:00 (1),07:45:00 (1),08:00:00 (1),16:40:00 (35),08:15:00 (1),08:30:00 (1),17:10:00 (35),17:25:00 (35),17:40:00 (35),17:55:00 (35),18:10:00 (35),18:25:00 (35),18:55:00 (35),19:25:00 (35),20:10:00 (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
