stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,station_id_additional
place-CM-0547,,Buzzards Bay,,,,41.744805,-70.616226,CF-zone-buzzards,"70 Main Street, Buzzards Bay, MA 02532",https://www.mbta.com/stops/place-CM-0547,,1,,1,Bourne,,,,"""['CM-0547-S']"""
place-CM-0564,,Bourne,,,,41.746497,-70.588772,CF-zone-buzzards,"21 Bourne Bridge, Bourne, MA 02532",https://www.mbta.com/stops/place-CM-0564,,1,,1,Bourne,,,,"""['CM-0564-S']"""
place-CM-0790,,Hyannis,,,,41.660225,-70.276583,CF-zone-hyannis,"215 Iyannough Road, Hyannis, MA 02601",https://www.mbta.com/stops/place-CM-0790,,1,,1,Barnstable,,,,"""['CM-0790-S']"""
place-DB-0095,,Readville,,,,42.238405,-71.133246,CR-zone-2,"1800 Hyde Park Ave, Hyde Park, MA 02136",https://www.mbta.com/stops/place-DB-0095,,1,,1,Boston,,,,"""['DB-0095', 'FB-0095-04', 'FB-0095-05', 'NEC-2192-02', 'NEC-2192-03']"""
place-DB-2205,,Fairmount,,,,42.253638,-71.11927,CR-zone-1A,"Fairmount Ave and Truman Hwy, Hyde Park, MA 02136",https://www.mbta.com/stops/place-DB-2205,,1,,1,Boston,,,,"""['DB-2205', 'DB-2205-01', 'DB-2205-02']"""
place-DB-2222,,Blue Hill Avenue,,,,42.271466,-71.095782,CR-zone-1A,"Blue Hill Ave or Cummins Hwy at Woodhaven St, Mattapan, MA 02126",https://www.mbta.com/stops/place-DB-2222,,1,,1,Boston,,,,"""['DB-2222', 'DB-2222-01', 'DB-2222-02']"""
place-DB-2230,,Morton Street,,,,42.280994,-71.085475,CR-zone-1A,"865 Morton St, Mattapan, MA 02126",https://www.mbta.com/stops/place-DB-2230,,1,,1,Boston,,,,"""['DB-2230', 'DB-2230-01', 'DB-2230-02']"""
place-DB-2240,,Talbot Avenue,,,,42.292246,-71.07814,CR-zone-1A,"210 Talbot Ave, Boston, MA 02124",https://www.mbta.com/stops/place-DB-2240,,1,,1,Boston,,,,"""['DB-2240', 'DB-2240-01', 'DB-2240-02']"""
place-DB-2249,,Four Corners/Geneva,,,,42.305037,-71.076833,CR-zone-1A,"171 Geneva Ave, Boston, MA 02121",https://www.mbta.com/stops/place-DB-2249,,1,,1,Boston,,,,"""['DB-2249', 'DB-2249-01', 'DB-2249-02']"""
place-DB-2258,,Uphams Corner,,,,42.319125,-71.068627,CR-zone-1A,"691 Dudley St, Dorchester, MA 02125",https://www.mbta.com/stops/place-DB-2258,,1,,1,Boston,,,,"""['DB-2258', 'DB-2258-01', 'DB-2258-02']"""
place-DB-2265,,Newmarket,,,,42.327415,-71.065674,CR-zone-1A,"1070 Massachusetts Ave, Boston, MA 02118",https://www.mbta.com/stops/place-DB-2265,,1,,1,Boston,,,,"""['DB-2265', 'DB-2265-01', 'DB-2265-02']"""
place-ER-0099,,River Works,GE Employees Only,,,42.449927,-70.969848,CR-zone-2,"1000 Western Ave, Lynn, MA 01910 (General Electric employees only)",https://www.mbta.com/stops/place-ER-0099,,1,,2,Lynn,,,,"""['ER-0099', 'ER-0099-01', 'ER-0099-02']"""
place-ER-0115,,Lynn,,,,42.462953,-70.945421,CR-zone-2,"325 Broad St, Lynn, MA 01901",https://www.mbta.com/stops/place-ER-0115,,1,,1,Lynn,,,,"""['ER-0115', 'ER-0115-01', 'ER-0115-02']"""
place-ER-0117,,Lynn Interim,,,,42.46529,-70.940434,CR-zone-2,"11 Ellis St, Lynn, MA 01902",https://www.mbta.com/stops/place-ER-0117,,1,,1,Lynn,,,,"""['ER-0117-01', 'ER-0117-02']"""
place-ER-0128,,Swampscott,,,,42.473743,-70.922537,CR-zone-3,"Burrill St and Railroad Ave, Swampscott, MA 01907",https://www.mbta.com/stops/place-ER-0128,,1,,1,Swampscott,,,,"""['ER-0128', 'ER-0128-01', 'ER-0128-02']"""
place-ER-0168,,Salem,,,,42.524792,-70.895876,CR-zone-3,"252 Bridge St, Salem, MA 01970",https://www.mbta.com/stops/place-ER-0168,,1,,1,Salem,,,,"""['ER-0168-S']"""
place-ER-0183,,Beverly,,,,42.547276,-70.885432,CR-zone-4,"10 Park St, Beverly, MA 01915",https://www.mbta.com/stops/place-ER-0183,,1,,1,Beverly,,,,"""['ER-0183', 'ER-0183-01', 'ER-0183-02']"""
place-ER-0208,,North Beverly,,,,42.583779,-70.883851,CR-zone-5,"Enon St and Dodge St, Beverly, MA 01915",https://www.mbta.com/stops/place-ER-0208,,1,,1,Beverly,,,,"""['ER-0208', 'ER-0208-01', 'ER-0208-02']"""
place-ER-0227,,Hamilton/Wenham,,,,42.609212,-70.874801,CR-zone-5,"Bay Rd and Walnut Rd, Hamilton, MA 01982",https://www.mbta.com/stops/place-ER-0227,,1,,1,Hamilton,,,,"""['ER-0227-S']"""
place-ER-0276,,Ipswich,,,,42.676921,-70.840589,CR-zone-6,"4 Peatfield St, Ipswich, MA 01938",https://www.mbta.com/stops/place-ER-0276,,1,,1,Ipswich,,,,"""['ER-0276-S']"""
place-ER-0312,,Rowley,,,,42.726845,-70.859034,CR-zone-7,"70 Railroad Ave, Rowley, MA 01969",https://www.mbta.com/stops/place-ER-0312,,1,,1,Rowley,,,,"""['ER-0312-S']"""
place-ER-0362,,Newburyport,,,,42.797837,-70.87797,CR-zone-8,"25 Boston Way, Newburyport, MA 01950",https://www.mbta.com/stops/place-ER-0362,,1,,1,Newburyport,,,,"""['ER-0362', 'ER-0362-01', 'ER-0362-02']"""
place-FB-0109,,Endicott,,,,42.233249,-71.158647,CR-zone-2,"186 Grant Ave, Dedham, MA 02026",https://www.mbta.com/stops/place-FB-0109,,1,,2,Dedham,,,,"""['FB-0109', 'FB-0109-01', 'FB-0109-02']"""
place-FB-0118,,Dedham Corporate Center,,,,42.227079,-71.174254,CR-zone-2,"125 Allied Dr, Dedham, MA 02026",https://www.mbta.com/stops/place-FB-0118,,1,,1,Dedham,,,,"""['FB-0118', 'FB-0118-01', 'FB-0118-02']"""
