shape_id,distance
60165,40.079143418503676
60166,40.07972169277322
40080,43.63516748044436
10385,38.1273488229091
10386,38.12750940284942
10387,20.320046119921056
10388,38.12374606400949
10389,48.062550313898555
10390,38.12396530740763
40082,43.63702294961796
10392,48.068322752390856
10393,20.323327250609942
40084,35.71769462673781
40085,35.71903890545406
50077,25.849027716932174
40107,54.888281109033926
40108,54.889465690144476
40110,43.63702294961796
60177,63.819488975959295
60178,63.83543665094389
10421,41.57230926993996
10422,51.51312261948139
10423,41.572148689999636
10424,23.768127117700445
10425,41.568599214534444
40117,54.88946570689207
40118,43.63516748044436
40134,62.09039006349434
40135,62.09221973522814
40136,62.09039004674675
30037,34.64328087859132
30038,34.64316328738235
10215,41.568599214534444
10217,51.50740346442351
50153,22.406332796594874
50154,22.404174566407217
10220,23.764899270446012
10221,41.568818457932586
50165,25.85113266368538
