stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding,station_id_additional
MTL5D,Gare Centrale,,45.500002,-73.566668,1.0,11010,1,"""['MTL5B']"""
MTL3A,Gare Lucien-L'Allier,,45.494771,-73.570807,1.0,11150,0,"""['MTL3C']"""
MTL2A,Gare Vendôme,,45.473771,-73.603101,1.0,11160,0,"""['MTL2C']"""
MTL1A,Gare Montréal-Ouest,,45.453681,-73.64174,1.0,11170,0,"""['MTL1C']"""
LCH1D,Gare Lachine,,45.448687,-73.711325,1.0,11180,0,"""['LCH1B']"""
DVL2D,Gare Dorval,,45.449209,-73.74311,2.0,11190,0,"""['DVL2B']"""
DVL1D,Gare Pine Beach,,45.449603,-73.764257,2.0,11200,0,"""['DVL1B']"""
PCL3D,Gare Valois,,45.449754,-73.790874,2.0,11210,0,"""['PCL3B']"""
PCL2D,Gare Pointe-Claire,,45.447256,-73.803441,2.0,11220,0,"""['PCL2B']"""
PCL1D,Gare Cedar Park,,45.442424,-73.81988,2.0,11230,0,"""['PCL1B']"""
BEA2D,Gare Beaconsfield,,45.434983,-73.847393,2.0,11240,0,"""['BEA2B']"""
BEA1D,Gare Beaurepaire,,45.427404,-73.887258,2.0,11250,0,"""['BEA1B']"""
BUR1D,Gare Baie-d'Urfé,,45.419916,-73.915559,2.0,11260,0,"""['BUR1B']"""
SAB1D,Gare Sainte-Anne-de-Bellevue,,45.407615,-73.951215,2.0,11270,0,"""['SAB1B']"""
LIP1D,Gare Île-Perrot,,45.395932,-73.965426,4.0,11280,0,"""['LIP1B']"""
TVA1D,Gare Pincourt,,45.387182,-73.992274,4.0,11290,0,"""['TVA1B']"""
VAU1D,Gare Dorion,,45.3864,-74.008255,5.0,11300,0,"""['VAU1B']"""
VAU8D,Gare Vaudreuil,,45.399009,-74.050558,5.0,11310,0,"""['VAU8B']"""
HUD1D,Gare Hudson,,45.459638,-74.140937,6.0,11320,0,"""['HUD1B']"""
MTL8D,Gare Parc,,45.531493,-73.62378,1.0,11350,0,"""['MTL8B']"""
MTL37C,Gare Chabanel,,45.537058,-73.658031,1.0,11355,0,"""['MTL37A']"""
MTL7D,Gare Bois-de-Boulogne,,45.540251,-73.676902,2.0,11360,0,"""['MTL7B']"""
LVL24C,Gare De la Concorde,,45.560288,-73.710104,3.0,11365,0,"""['LVL24A']"""
LVL22C,Gare Vimont,,45.603767,-73.74266,3.0,11375,0,"""['LVL22A']"""
LVL4C,Gare Sainte-Rose,,45.625439,-73.764748,3.0,11380,0,"""['LVL4A']"""
