,stop_name,2 (Vancouver - Toronto),5 (Jasper - Prince Rupert),6 (Jasper - Prince Rupert),14 (Montréal - Halifax),15 (Montréal - Halifax),20 (Québec - Montréal),22 (Québec - Fallowfield),24 (Québec - Fallowfield),26 (Ottawa - Québec),28 (Ottawa - Québec),29 (Québec - Montréal),31 (Ottawa - Montréal),33 (Ottawa - Québec),35 (Ottawa - Québec),37 (Québec - Fallowfield),38 (Ottawa - Montréal),39 (Québec - Fallowfield),40 (Ottawa - Toronto),41 (Ottawa - Toronto),42 (Ottawa - Toronto),43 (Ottawa - Toronto),44 (Ottawa - Toronto),45 (Ottawa - Toronto),46 (Ottawa - Toronto),47 (Ottawa - Toronto),48 (Ottawa - Toronto),50 (Ottawa - Toronto),52 (Ottawa - Toronto),53 (Ottawa - Toronto),54 (Ottawa - Toronto),55 (Ottawa - Toronto),59 (Ottawa - Toronto),60 (Montréal - Toronto),61 (Montréal - Toronto),62 (Montréal - Toronto),63 (Montréal - Toronto),64 (Montréal - Toronto),65 (Montréal - Toronto),66 (Montréal - Toronto),67 (Montréal - Toronto),68 (Montréal - Toronto),69 (Montréal - Toronto),70 (Toronto - Windsor),71 (Toronto - Windsor),72 (Toronto - Windsor),73 (Toronto - Windsor),75 (Toronto - Windsor),76 (Toronto - Windsor),78 (Toronto - Windsor),79 (Toronto - Windsor),82 (Toronto - London),83 (Toronto - London),84 (Toronto - Sarnia),87 (Toronto - Sarnia),186 (Sudbury - White River),601 (Montréal - Jonquière),603 (Montréal - Senneterre),643 (Ottawa - Toronto),644 (Ottawa - Toronto),645 (Ottawa - Toronto),646 (Ottawa - Toronto),647 (Ottawa - Toronto),650 (Toronto - Kingston),651 (Toronto - Kingston),668 (Montréal - Toronto),669 (Montréal - Toronto),691 (The Pas - Churchill),nan (Air Connect),97-64 (Toronto - New York),98-63 (Toronto - New York)
106,Sturgis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Schenectady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:44:00 (15),10:34:00 (8)
108,Miquick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17:00 (15),,,,,,,,,,,,,,
109,Falrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34:00 (17),,,,,,,,,,,,,,
110,Jasper,38:30:00 (11),12:45:00 (1),43:00:00 (34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Amherst,,,,37:57:00 (25),13:38:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Rousseau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:20:00 (13),,,,,,,,,,,,,,
113,Earchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Dessane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:15:00 (25),,,,,,,,,,,,,
115,Turnbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:10:00 (14),,,
116,Da-Rou-Lac Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:01:00 (52),,,,,,,,,,,,,
117,Lac Bouchette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:23:00 (41),,,,,,,,,,,,,,
118,Niagara Falls Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:50:00 (7),16:50:00 (16)
119,Cormorant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:12:00 (8),,,
120,Sainte-Foy,,,,22:12:00 (5),30:28:00 (24),09:27:00 (5),11:22:00 (10),15:47:00 (10),19:54:00 (10),21:23:00 (11),18:08:00 (2),,05:57:00 (2),08:34:00 (2),13:00:00 (2),,15:24:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Devon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00:00 (15),,,,,,,,,,,,,,,
122,Laurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Québec,,,,,,09:52:00 (6),11:47:00 (11),16:12:00 (11),20:19:00 (11),21:48:00 (12),17:41:00 (1),,05:29:00 (1),08:06:00 (1),12:32:00 (1),,14:57:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,McGregor,,18:43:00 (13),36:33:00 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Longworth,,18:11:00 (10),36:59:00 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Lyddal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:16:00 (20),,,
127,Mikado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Pikwitonei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:02:00 (29),,,
129,M'Clintock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30:50:00 (47),,,
130,Smiths Falls,,,,,,,,,,,,,,,,,,,06:10:00 (3),16:28:00 (12),,17:52:00 (5),,,13:20:00 (3),22:26:00 (12),10:31:00 (8),12:37:00 (8),,21:27:00 (11),,18:53:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,09:20:00 (3),,,,,,,,,,,,
131,Missanabie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00:00 (8),,,,,,,,,,,,,,,
132,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:35:00 (1),11:08:00 (10),08:43:00 (1),15:45:00 (8),21:50:00 (10),13:46:00 (1),17:40:00 (1),23:44:00 (10),,,,,,,,,,,,,,,,,,,,
133,Consolidated Bathurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:41:00 (47),,,,,,,,,,,,,
134,Elsas,93:04:00 (55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Clova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:13:00 (44),,,,,,,,,,,,,
136,Club Bélanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:42:00 (30),,,,,,,,,,,,,
137,Musk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:02:00 (12),,,,,,,,,,,,,,,
138,Langlade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:59:00 (51),,,,,,,,,,,,,
139,Charette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59:00 (7),09:59:00 (7),,,,,,,,,,,,,
140,Clearwater,29:58:00 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Causapscal,,,,28:53:00 (14),22:40:00 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Charlo,,,,31:08:00 (17),20:06:00 (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Stratford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16:00 (6),19:59:00 (7),,,,,,,,,,,,,,,,
144,Trois Pistoles,,,,25:18:00 (9),26:34:00 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:18:00 (35),,,,,,,,,,,,,,
146,Aleza Lake,,19:01:00 (15),36:17:00 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Van Bruyssels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:31:00 (37),,,,,,,,,,,,,,
148,Rawebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Evansburg,42:28:00 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Poughkeepsie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:36:00 (19),08:45:00 (4)
151,Biggar,53:31:00 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Pit Siding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:35:00 (34),,,
153,Pogamasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45:00 (28),,,,,,,,,,,,,,,
154,Prince Rupert,,47:25:00 (34),11:00:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Shawinigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22:00 (8),10:22:00 (8),,,,,,,,,,,,,
156,Sudbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:50:00 (36),,,,,,,,,,,,,,,
157,Halifax,,,,41:06:00 (28),10:30:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Guildwood,,,,,,,,,,,,,,,,,,10:52:00 (2),,12:37:00 (2),13:30:00 (4),,,15:52:00 (2),17:00:00 (9),18:52:00 (2),06:52:00 (2),08:52:00 (2),16:15:00 (9),17:52:00 (2),,22:30:00 (10),06:52:00 (2),11:45:00 (7),08:52:00 (2),14:00:00 (9),11:52:00 (2),16:00:00 (8),15:37:00 (2),,,21:30:00 (7),,,,,,,,,,,,,,,,13:00:00 (12),13:37:00 (2),,16:52:00 (2),21:00:00 (5),,08:01:00 (8),18:22:00 (2),23:00:00 (6),,,,
159,Hebertville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:34:00 (43),,,,,,,,,,,,,,
160,Prince George,,35:00:00 (17),35:15:00 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Viking,47:53:00 (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Ophir,74:16:00 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Joliette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:08:00 (4),09:08:00 (4),,,,,,,,,,,,,
164,La Perouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Cobourg,,,,,,,,,,,,,,,,,,,08:47:00 (9),13:37:00 (5),,,,16:45:00 (4),,19:47:00 (5),07:46:00 (4),09:47:00 (4),15:15:00 (7),18:48:00 (5),18:57:00 (8),21:33:00 (8),07:46:00 (4),,09:47:00 (4),13:01:00 (7),12:49:00 (4),15:01:00 (6),,17:19:00 (6),18:16:00 (3),,,,,,,,,,,,,,,,,11:59:00 (9),14:30:00 (4),,,,20:42:00 (4),07:00:00 (5),,,,,,
166,Kondiaronk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:44:00 (39),,,,,,,,,,,,,,
167,Kwinitsa,,46:09:00 (32),12:17:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:55:00 (14),10:52:00 (9)
169,Dorreen,,44:12:00 (28),14:19:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,McTavish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45:00 (20),,,,,,,,,,,,,
171,Rice Lake,74:35:00 (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Lac Édouard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:41:00 (29),,,,,,,,,,,,,,
173,Club Maniwawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:30:00 (40),,,,,,,,,,,,,
174,Coquar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:22:00 (45),,,,,,,,,,,,,
175,Chelmsford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00:00 (34),,,,,,,,,,,,,,,
176,Copelands Landing,74:38:00 (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Larchwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51:00 (33),,,,,,,,,,,,,,,
178,St. Catharines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58:00 (5),18:08:00 (18)
179,Albany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:35:00 (16),10:10:00 (7)
180,St. Marys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46:00 (5),20:27:00 (8),,,,,,,,,,,,,,,,
181,Truro,,,,39:37:00 (27),12:01:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Moncton,,,,36:53:00 (23),14:52:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Biscotasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45:00 (23),,,,,,,,,,,,,,,
184,Strathroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:29:00 (3),21:41:00 (10),,,,,,,,,,,,,,,,
185,Rogersville,,,,35:30:00 (22),16:03:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Jacquet River,,,,31:32:00 (18),19:42:00 (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Brampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:01:00 (10),18:14:00 (3),,,,,,,,,,,,,,,,
188,Ingersoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:57:00 (4),08:44:00 (6),11:08:00 (5),,19:20:00 (6),,19:58:00 (5),21:31:00 (6),,,,,,,,,,,,,,,,,,,,
189,Rapide Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00:00 (17),,,,,,,,,,,,,
190,Cann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:36:00 (29),,,,,,,,,,,,,
191,Budd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Rivière-du-Loup,,,,24:36:00 (8),27:23:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Bolkow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:35:00 (10),,,,,,,,,,,,,,,
194,Rimouski,,,,26:31:00 (10),25:31:00 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Stralak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:03:00 (29),,,,,,,,,,,,,,,
196,Buffalo (Exchange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:25:00 (8),15:32:00 (15)
197,Gananoque,,,,,,,,,,,,,,,,,,,,15:24:00 (10),,,,,14:24:00 (5),21:29:00 (10),,,13:32:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Lac Darey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:19:00 (18),,,,,,,,,,,,,
199,Sackville,,,,37:41:00 (24),13:55:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Chapleau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:32:00 (14),,,,,,,,,,,,,,,
201,Brereton Lake,73:58:00 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,McBride,,15:44:00 (4),39:18:00 (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Elma,73:37:00 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Club Jacques-Cartier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:31:00 (16),,,,,,,,,,,,,,
205,Wekusko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:43:00 (13),,,
206,Westree,96:35:00 (58),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Gogama,96:02:00 (57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Petit Rocher,,,,31:55:00 (19),19:19:00 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Felix,97:00:00 (60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Ruel,96:52:00 (59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Guelph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:26:00 (8),18:51:00 (5),,,,,,,,,,,,,,,,
212,Foleyet,94:27:00 (56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Glencoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:40:00 (8),10:06:00 (3),,20:22:00 (8),15:04:00 (3),19:00:00 (3),22:26:00 (8),,,,,,,,,,,,,,,,,,,,
214,Vancouver,18:00:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:16:00 (22),07:16:00 (1)
216,Club Sommet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:07:00 (33),,,,,,,,,,,,,,
217,Signai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:58:00 (58),,,,,,,,,,,,,
218,Garneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:43:00 (10),10:43:00 (10),,,,,,,,,,,,,
219,Franz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:20:00 (6),,,,,,,,,,,,,,,
220,Woman River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:05:00 (20),,,,,,,,,,,,,,,
221,Forsythe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:31:00 (56),,,,,,,,,,,,,
222,Dome Creek,,17:32:00 (7),37:33:00 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Belleville,,,,,,,,,,,,,,,,,,12:12:00 (3),08:10:00 (7),14:18:00 (7),,,,,15:30:00 (7),20:28:00 (7),08:21:00 (5),10:23:00 (5),14:39:00 (6),19:30:00 (7),18:16:00 (6),20:53:00 (6),08:21:00 (5),10:14:00 (5),10:23:00 (5),12:23:00 (6),13:26:00 (5),14:23:00 (5),17:04:00 (4),16:44:00 (5),18:51:00 (4),,,,,,,,,,,,,,,,,11:20:00 (7),15:06:00 (5),17:18:00 (4),18:15:00 (4),,21:19:00 (5),06:16:00 (3),,,,,,
224,Hibbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:53:00 (31),,,,,,,,,,,,,
225,Dalton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:20:00 (9),,,,,,,,,,,,,,,
226,Club Vermillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57:00 (16),,,,,,,,,,,,,
227,Dering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:20:00 (9),,,
228,Trenton Junction,,,,,,,,,,,,,,,,,,,08:21:00 (8),14:03:00 (6),,,,,,20:14:00 (6),,,,19:15:00 (6),18:30:00 (7),21:06:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,,11:33:00 (8),,,,,,06:28:00 (4),,,,,,
229,Dunlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Casselman,,,,,,,06:34:00 (2),,,16:32:00 (2),,08:00:00 (4),10:34:00 (10),13:33:00 (11),,18:27:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Goat River,,16:41:00 (5),38:22:00 (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Club Iroquois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:47:00 (22),,,,,,,,,,,,,,
233,Boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Thicket Portage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:37:00 (25),,,
235,Cartier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:30:00 (31),,,,,,,,,,,,,,,
236,Bathurst,,,,32:52:00 (20),18:58:00 (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Plumas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:37:00 (22),,,,,,,,,,,,,,,
239,Pipun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:25:00 (18),,,
240,Gillam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:30:00 (40),,,
241,La Pocatière,,,,23:51:00 (7),28:06:00 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
