,stop_name,10 (Union Pacific West),11 (Union Pacific West),12 (Union Pacific West),13 (Union Pacific West),14 (Union Pacific West),15 (Union Pacific West),16 (Union Pacific West),18 (Union Pacific West),19 (Union Pacific West),20 (Union Pacific West),21 (Union Pacific West),22 (Union Pacific West),24 (Union Pacific West),25 (Union Pacific West),26 (Union Pacific West),28 (Union Pacific West),29 (Union Pacific West),30 (Union Pacific West),31 (Union Pacific West),32 (Union Pacific West),33 (Union Pacific West),34 (Union Pacific West),35 (Union Pacific West),36 (Union Pacific West),37 (Union Pacific West),38 (Union Pacific West),39 (Union Pacific West),41 (Union Pacific West),42 (Union Pacific West),43 (Union Pacific West),44 (Union Pacific West),45 (Union Pacific West),47 (Union Pacific West),48 (Union Pacific West),49 (Union Pacific West),50 (Union Pacific West),51 (Union Pacific West),52 (Union Pacific West),53 (Union Pacific West),54 (Union Pacific West),55 (Union Pacific West),56 (Union Pacific West),57 (Union Pacific West),59 (Union Pacific West),60 (Union Pacific West),61 (Union Pacific West),62 (Union Pacific West),63 (Union Pacific West),64 (Union Pacific West),65 (Union Pacific West),66 (Union Pacific West),67 (Union Pacific West),68 (Union Pacific West),69 (Union Pacific West),70 (Union Pacific West),71 (Union Pacific West),72 (Union Pacific West),73 (Union Pacific West),100 (Metra Electric),100 (North Central Service),101 (Metra Electric),101 (North Central Service),102 (Metra Electric),102 (North Central Service),103 (Metra Electric),105 (Metra Electric),105 (North Central Service),107 (North Central Service),108 (North Central Service),109 (North Central Service),110 (North Central Service),111 (Metra Electric),112 (North Central Service),113 (Metra Electric),113 (North Central Service),114 (Metra Electric),114 (North Central Service),115 (Metra Electric),115 (North Central Service),116 (Metra Electric),116 (North Central Service),117 (Metra Electric),117 (North Central Service),118 (Metra Electric),119 (Metra Electric),120 (Metra Electric),121 (Metra Electric),122 (Metra Electric),123 (Metra Electric),124 (Metra Electric),125 (Metra Electric),126 (Metra Electric),127 (Metra Electric),128 (Metra Electric),129 (Metra Electric),130 (Metra Electric),131 (Metra Electric),132 (Metra Electric),136 (Metra Electric),138 (Metra Electric),140 (Metra Electric),142 (Metra Electric),143 (Metra Electric),144 (Metra Electric),145 (Metra Electric),146 (Metra Electric),147 (Metra Electric),148 (Metra Electric),149 (Metra Electric),150 (Metra Electric),151 (Metra Electric),153 (Metra Electric),165 (Metra Electric),204 (Metra Electric),205 (Metra Electric),206 (Metra Electric),207 (Metra Electric),210 (Metra Electric),214 (Metra Electric),215 (Metra Electric),216 (Metra Electric),218 (Metra Electric),219 (Metra Electric),220 (Metra Electric),222 (Metra Electric),223 (Metra Electric),224 (Metra Electric),226 (Metra Electric),227 (Metra Electric),231 (Metra Electric),233 (Metra Electric),237 (Metra Electric),241 (Metra Electric),243 (Metra Electric),245 (Metra Electric),300 (Metra Electric),300 (Rock Island),300 (Union Pacific North),301 (Rock Island),302 (Rock Island),302 (Union Pacific North),303 (Rock Island),303 (Union Pacific North),304 (Metra Electric),304 (Rock Island),304 (Union Pacific North),305 (Metra Electric),305 (Rock Island),305 (Union Pacific North),306 (Union Pacific North),307 (Metra Electric),307 (Union Pacific North),308 (Metra Electric),308 (Union Pacific North),309 (Metra Electric),309 (Union Pacific North),310 (Metra Electric),310 (Union Pacific North),311 (Metra Electric),311 (Union Pacific North),312 (Metra Electric),312 (Union Pacific North),313 (Union Pacific North),314 (Metra Electric),314 (Union Pacific North),315 (Metra Electric),315 (Union Pacific North),316 (Metra Electric),316 (Union Pacific North),317 (Metra Electric),318 (Metra Electric),318 (Union Pacific North),319 (Metra Electric),319 (Union Pacific North),320 (Metra Electric),320 (Union Pacific North),321 (Metra Electric),321 (Union Pacific North),322 (Metra Electric),322 (Union Pacific North),323 (Metra Electric),323 (Union Pacific North),324 (Metra Electric),324 (Union Pacific North),325 (Metra Electric),326 (Metra Electric),326 (Union Pacific North),327 (Metra Electric),327 (Union Pacific North),328 (Metra Electric),329 (Metra Electric),330 (Metra Electric),330 (Union Pacific North),331 (Metra Electric),331 (Union Pacific North),332 (Metra Electric),333 (Metra Electric),334 (Metra Electric),334 (Union Pacific North),335 (Union Pacific North),337 (Metra Electric),337 (Union Pacific North),338 (Metra Electric),338 (Union Pacific North),339 (Union Pacific North),341 (Metra Electric),341 (Union Pacific North),342 (Metra Electric),342 (Union Pacific North),343 (Union Pacific North),345 (Metra Electric),345 (Union Pacific North),346 (Union Pacific North),347 (Union Pacific North),348 (Union Pacific North),349 (Metra Electric),349 (Union Pacific North),351 (Metra Electric),351 (Union Pacific North),353 (Union Pacific North),354 (Union Pacific North),355 (Union Pacific North),357 (Union Pacific North),358 (Union Pacific North),359 (Union Pacific North),360 (Metra Electric),360 (Union Pacific North),361 (Metra Electric),361 (Union Pacific North),362 (Metra Electric),362 (Union Pacific North),363 (Metra Electric),363 (Union Pacific North),365 (Union Pacific North),366 (Union Pacific North),367 (Union Pacific North),368 (Union Pacific North),369 (Union Pacific North),370 (Union Pacific North),371 (Union Pacific North),372 (Union Pacific North),373 (Union Pacific North),374 (Union Pacific North),375 (Union Pacific North),376 (Union Pacific North),377 (Union Pacific North),390 (Union Pacific North),391 (Union Pacific North),392 (Union Pacific North),393 (Union Pacific North),394 (Union Pacific North),396 (Union Pacific North),398 (Union Pacific North),400 (Rock Island),401 (Metra Electric),401 (Rock Island),402 (Rock Island),403 (Rock Island),404 (Rock Island),405 (Rock Island),407 (Rock Island),409 (Rock Island),411 (Rock Island),412 (Rock Island),413 (Rock Island),414 (Rock Island),415 (Rock Island),416 (Rock Island),417 (Rock Island),418 (Rock Island),419 (Rock Island),420 (Rock Island),422 (Rock Island),424 (Rock Island),426 (Rock Island),427 (Rock Island),428 (Rock Island),429 (Rock Island),430 (Rock Island),431 (Rock Island),432 (Rock Island),433 (Rock Island),511 (Rock Island),512 (Rock Island),513 (Rock Island),514 (Rock Island),515 (Rock Island),516 (Rock Island),517 (Rock Island),518 (Rock Island),600 (Rock Island),601 (Rock Island),601 (Union Pacific Northwest),602 (Rock Island),602 (Union Pacific Northwest),603 (Rock Island),603 (Union Pacific Northwest),604 (Rock Island),604 (Union Pacific Northwest),605 (Rock Island),605 (Union Pacific Northwest),606 (Rock Island),606 (Union Pacific Northwest),607 (Rock Island),607 (Union Pacific Northwest),608 (Rock Island),609 (Rock Island),609 (Union Pacific Northwest),610 (Rock Island),610 (Union Pacific Northwest),611 (Rock Island),611 (Union Pacific Northwest),612 (Rock Island),612 (Union Pacific Northwest),613 (Rock Island),613 (Union Pacific Northwest),614 (Rock Island),614 (Union Pacific Northwest),615 (Rock Island),615 (Union Pacific Northwest),616 (Union Pacific Northwest),617 (Metra Electric),617 (Rock Island),617 (Union Pacific Northwest),618 (Rock Island),618 (Union Pacific Northwest),619 (Rock Island),619 (Union Pacific Northwest),620 (Metra Electric),620 (Rock Island),620 (Union Pacific Northwest),621 (Metra Electric),621 (Rock Island),621 (Union Pacific Northwest),622 (Rock Island),622 (Union Pacific Northwest),623 (Rock Island),623 (Union Pacific Northwest),624 (Metra Electric),624 (Rock Island),624 (Union Pacific Northwest),625 (Metra Electric),625 (Rock Island),625 (Union Pacific Northwest),626 (Rock Island),626 (Union Pacific Northwest),627 (Rock Island),627 (Union Pacific Northwest),628 (Metra Electric),628 (Rock Island),628 (Union Pacific Northwest),629 (Rock Island),629 (Union Pacific Northwest),630 (Rock Island),630 (Union Pacific Northwest),631 (Rock Island),631 (Union Pacific Northwest),632 (Rock Island),632 (Union Pacific Northwest),633 (Union Pacific Northwest),634 (Union Pacific Northwest),635 (Union Pacific Northwest),636 (Union Pacific Northwest),637 (Union Pacific Northwest),638 (Union Pacific Northwest),639 (Union Pacific Northwest),640 (Union Pacific Northwest),641 (Union Pacific Northwest),642 (Union Pacific Northwest),643 (Union Pacific Northwest),644 (Union Pacific Northwest),645 (Union Pacific Northwest),646 (Union Pacific Northwest),647 (Union Pacific Northwest),648 (Union Pacific Northwest),649 (Union Pacific Northwest),650 (Union Pacific Northwest),651 (Union Pacific Northwest),652 (Union Pacific Northwest),653 (Union Pacific Northwest),654 (Union Pacific Northwest),655 (Union Pacific Northwest),656 (Union Pacific Northwest),657 (Union Pacific Northwest),658 (Union Pacific Northwest),659 (Union Pacific Northwest),660 (Union Pacific Northwest),661 (Union Pacific Northwest),662 (Union Pacific Northwest),663 (Union Pacific Northwest),664 (Union Pacific Northwest),665 (Union Pacific Northwest),666 (Union Pacific Northwest),667 (Union Pacific Northwest),668 (Union Pacific Northwest),669 (Union Pacific Northwest),670 (Union Pacific Northwest),671 (Union Pacific Northwest),672 (Union Pacific Northwest),673 (Union Pacific Northwest),674 (Union Pacific Northwest),675 (Union Pacific Northwest),676 (Union Pacific Northwest),677 (Union Pacific Northwest),678 (Union Pacific Northwest),680 (Union Pacific Northwest),700 (Metra Electric),700 (Rock Island),701 (Metra Electric),701 (Rock Island),702 (Metra Electric),702 (Rock Island),703 (Metra Electric),703 (Rock Island),704 (Metra Electric),704 (Rock Island),705 (Metra Electric),705 (Rock Island),706 (Metra Electric),708 (Metra Electric),709 (Metra Electric),710 (Metra Electric),711 (Metra Electric),712 (Metra Electric),721 (Metra Electric),722 (Metra Electric),723 (Metra Electric),724 (Metra Electric),725 (Metra Electric),726 (Metra Electric),727 (Metra Electric),728 (Metra Electric),800 (Southwest Service),801 (Southwest Service),802 (Southwest Service),803 (Southwest Service),804 (Southwest Service),805 (Southwest Service),806 (Southwest Service),807 (Southwest Service),808 (Southwest Service),809 (Southwest Service),810 (Southwest Service),811 (Southwest Service),812 (Southwest Service),813 (Southwest Service),814 (Southwest Service),815 (Southwest Service),816 (Southwest Service),817 (Southwest Service),818 (Southwest Service),819 (Southwest Service),820 (Southwest Service),821 (Southwest Service),822 (Southwest Service),823 (Southwest Service),824 (Southwest Service),825 (Southwest Service),826 (Southwest Service),827 (Southwest Service),836 (Southwest Service),841 (Southwest Service),914 (Heritage Corridor),915 (Heritage Corridor),916 (Heritage Corridor),917 (Heritage Corridor),918 (Heritage Corridor),919 (Heritage Corridor),1200 (Burlington Northern),1201 (Burlington Northern),1202 (Burlington Northern),1203 (Burlington Northern),1204 (Burlington Northern),1205 (Burlington Northern),1206 (Burlington Northern),1207 (Burlington Northern),1208 (Burlington Northern),1210 (Burlington Northern),1211 (Burlington Northern),1212 (Burlington Northern),1213 (Burlington Northern),1214 (Burlington Northern),1215 (Burlington Northern),1216 (Burlington Northern),1217 (Burlington Northern),1218 (Burlington Northern),1220 (Burlington Northern),1221 (Burlington Northern),1222 (Burlington Northern),1223 (Burlington Northern),1224 (Burlington Northern),1225 (Burlington Northern),1226 (Burlington Northern),1227 (Burlington Northern),1228 (Burlington Northern),1229 (Burlington Northern),1230 (Burlington Northern),1231 (Burlington Northern),1232 (Burlington Northern),1233 (Burlington Northern),1234 (Burlington Northern),1235 (Burlington Northern),1236 (Burlington Northern),1239 (Burlington Northern),1241 (Burlington Northern),1242 (Burlington Northern),1243 (Burlington Northern),1244 (Burlington Northern),1245 (Burlington Northern),1246 (Burlington Northern),1247 (Burlington Northern),1249 (Burlington Northern),1250 (Burlington Northern),1251 (Burlington Northern),1252 (Burlington Northern),1253 (Burlington Northern),1254 (Burlington Northern),1255 (Burlington Northern),1256 (Burlington Northern),1257 (Burlington Northern),1258 (Burlington Northern),1259 (Burlington Northern),1260 (Burlington Northern),1261 (Burlington Northern),1262 (Burlington Northern),1263 (Burlington Northern),1264 (Burlington Northern),1265 (Burlington Northern),1267 (Burlington Northern),1268 (Burlington Northern),1269 (Burlington Northern),1271 (Burlington Northern),1272 (Burlington Northern),1273 (Burlington Northern),1274 (Burlington Northern),1275 (Burlington Northern),1276 (Burlington Northern),1277 (Burlington Northern),1279 (Burlington Northern),1281 (Burlington Northern),1282 (Burlington Northern),1283 (Burlington Northern),1284 (Burlington Northern),1285 (Burlington Northern),1287 (Burlington Northern),1289 (Burlington Northern),1291 (Burlington Northern),1292 (Burlington Northern),1293 (Burlington Northern),1294 (Burlington Northern),1295 (Burlington Northern),1296 (Burlington Northern),1298 (Burlington Northern),1300 (Burlington Northern),1301 (Burlington Northern),1302 (Burlington Northern),1303 (Burlington Northern),1304 (Burlington Northern),1306 (Burlington Northern),2101 (Milwaukee North),2102 (Milwaukee North),2103 (Milwaukee North),2104 (Milwaukee North),2105 (Milwaukee North),2106 (Milwaukee North),2107 (Milwaukee North),2108 (Milwaukee North),2109 (Milwaukee North),2110 (Milwaukee North),2111 (Milwaukee North),2112 (Milwaukee North),2113 (Milwaukee North),2115 (Milwaukee North),2116 (Milwaukee North),2117 (Milwaukee North),2118 (Milwaukee North),2119 (Milwaukee North),2120 (Milwaukee North),2121 (Milwaukee North),2123 (Milwaukee North),2124 (Milwaukee North),2125 (Milwaukee North),2126 (Milwaukee North),2127 (Milwaukee North),2128 (Milwaukee North),2130 (Milwaukee North),2131 (Milwaukee North),2132 (Milwaukee North),2133 (Milwaukee North),2134 (Milwaukee North),2135 (Milwaukee North),2136 (Milwaukee North),2138 (Milwaukee North),2139 (Milwaukee North),2140 (Milwaukee North),2141 (Milwaukee North),2142 (Milwaukee North),2143 (Milwaukee North),2144 (Milwaukee North),2145 (Milwaukee North),2146 (Milwaukee North),2147 (Milwaukee North),2148 (Milwaukee North),2150 (Milwaukee North),2151 (Milwaukee North),2152 (Milwaukee North),2153 (Milwaukee North),2155 (Milwaukee North),2156 (Milwaukee North),2157 (Milwaukee North),2158 (Milwaukee North),2159 (Milwaukee North),2160 (Milwaukee North),2200 (Milwaukee West),2201 (Milwaukee West),2202 (Milwaukee West),2203 (Milwaukee West),2204 (Milwaukee West),2205 (Milwaukee West),2206 (Milwaukee West),2208 (Milwaukee West),2209 (Milwaukee West),2210 (Milwaukee West),2211 (Milwaukee West),2212 (Milwaukee West),2213 (Milwaukee West),2215 (Milwaukee West),2216 (Milwaukee West),2217 (Milwaukee West),2218 (Milwaukee West),2219 (Milwaukee West),2221 (Milwaukee West),2222 (Milwaukee West),2223 (Milwaukee West),2225 (Milwaukee West),2226 (Milwaukee West),2227 (Milwaukee West),2228 (Milwaukee West),2229 (Milwaukee West),2230 (Milwaukee West),2232 (Milwaukee West),2233 (Milwaukee West),2234 (Milwaukee West),2235 (Milwaukee West),2236 (Milwaukee West),2237 (Milwaukee West),2238 (Milwaukee West),2239 (Milwaukee West),2240 (Milwaukee West),2242 (Milwaukee West),2243 (Milwaukee West),2244 (Milwaukee West),2246 (Milwaukee West),2247 (Milwaukee West),2248 (Milwaukee West),2249 (Milwaukee West),2251 (Milwaukee West),2252 (Milwaukee West),2253 (Milwaukee West),2254 (Milwaukee West),2255 (Milwaukee West),2402 (Milwaukee West),2403 (Milwaukee West),2404 (Milwaukee West),2405 (Milwaukee West)
0,Geneva,04:27:00 (4),25:50:00 (25),04:57:00 (4),,05:27:00 (4),07:00:00 (25),05:39:00 (4),05:57:00 (4),07:55:00 (25),06:09:00 (4),08:50:00 (25),06:27:00 (4),06:37:00 (4),10:20:00 (25),07:00:00 (4),07:07:00 (4),11:50:00 (25),07:17:00 (4),12:50:00 (25),07:37:00 (4),13:50:00 (25),07:49:00 (4),14:50:00 (25),08:07:00 (4),15:52:00 (25),08:37:00 (4),16:52:00 (25),17:12:00 (25),09:37:00 (4),17:26:00 (25),11:07:00 (4),17:42:00 (25),17:56:00 (25),12:37:00 (4),18:07:00 (25),13:37:00 (4),18:17:00 (25),14:37:00 (4),18:30:00 (25),15:37:00 (4),18:42:00 (25),16:37:00 (4),18:58:00 (25),19:12:00 (25),17:37:00 (4),19:28:00 (25),,20:07:00 (25),18:37:00 (4),20:50:00 (25),19:37:00 (4),21:50:00 (25),20:37:00 (4),22:50:00 (25),21:37:00 (4),23:50:00 (25),22:37:00 (4),24:50:00 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,West Chicago,04:35:00 (6),25:41:00 (23),05:05:00 (6),06:39:00 (23),05:35:00 (6),06:51:00 (23),,06:05:00 (6),07:46:00 (23),,08:41:00 (23),06:35:00 (6),06:45:00 (6),10:11:00 (23),07:08:00 (6),07:15:00 (6),11:41:00 (23),07:25:00 (6),12:41:00 (23),07:45:00 (6),13:41:00 (23),,14:41:00 (23),08:15:00 (6),15:43:00 (23),08:45:00 (6),16:43:00 (23),17:03:00 (23),09:45:00 (6),,11:15:00 (6),17:33:00 (23),,12:45:00 (6),17:58:00 (23),13:45:00 (6),18:08:00 (23),14:45:00 (6),18:21:00 (23),15:45:00 (6),18:33:00 (23),16:45:00 (6),,19:03:00 (23),17:45:00 (6),,18:13:00 (6),19:59:00 (23),18:45:00 (6),20:41:00 (23),19:45:00 (6),21:41:00 (23),20:45:00 (6),22:41:00 (23),21:45:00 (6),23:41:00 (23),22:45:00 (6),24:41:00 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Winfield,04:39:00 (8),25:37:00 (21),05:09:00 (8),,05:39:00 (8),06:47:00 (21),,06:09:00 (8),07:42:00 (21),,08:37:00 (21),06:39:00 (8),06:49:00 (8),10:07:00 (21),07:12:00 (8),07:19:00 (8),11:37:00 (21),07:29:00 (8),12:37:00 (21),07:49:00 (8),13:37:00 (21),,14:37:00 (21),08:19:00 (8),15:38:00 (21),08:49:00 (8),16:38:00 (21),16:59:00 (21),09:49:00 (8),,11:19:00 (8),17:29:00 (21),,12:49:00 (8),17:54:00 (21),13:49:00 (8),18:04:00 (21),14:49:00 (8),18:17:00 (21),15:49:00 (8),18:29:00 (21),16:49:00 (8),,18:59:00 (21),17:49:00 (8),,,19:55:00 (21),18:49:00 (8),20:37:00 (21),19:49:00 (8),21:37:00 (21),20:49:00 (8),22:37:00 (21),21:49:00 (8),23:37:00 (21),22:49:00 (8),24:37:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wheaton,04:44:00 (9),25:33:00 (20),05:14:00 (9),06:32:00 (20),05:44:00 (9),06:43:00 (20),,06:14:00 (9),07:38:00 (20),,08:33:00 (20),06:44:00 (9),06:54:00 (9),10:03:00 (20),07:17:00 (9),07:24:00 (9),11:33:00 (20),07:34:00 (9),12:33:00 (20),07:54:00 (9),13:33:00 (20),,14:33:00 (20),08:24:00 (9),15:33:00 (20),08:54:00 (9),16:33:00 (20),16:55:00 (20),09:54:00 (9),17:11:00 (20),11:24:00 (9),17:25:00 (20),17:41:00 (20),12:54:00 (9),17:50:00 (20),13:54:00 (9),18:00:00 (20),14:54:00 (9),18:13:00 (20),15:54:00 (9),18:25:00 (20),16:54:00 (9),,18:55:00 (20),17:54:00 (9),,18:20:00 (9),19:51:00 (20),18:54:00 (9),20:33:00 (20),19:54:00 (9),21:33:00 (20),20:54:00 (9),22:33:00 (20),21:54:00 (9),23:33:00 (20),22:54:00 (9),24:33:00 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,College Ave,04:47:00 (10),25:30:00 (19),05:17:00 (10),,05:47:00 (10),06:40:00 (19),05:57:00 (10),06:17:00 (10),07:35:00 (19),06:27:00 (10),08:30:00 (19),06:47:00 (10),06:57:00 (10),10:00:00 (19),07:20:00 (10),07:27:00 (10),11:30:00 (19),07:37:00 (10),12:30:00 (19),07:57:00 (10),13:30:00 (19),08:07:00 (10),14:30:00 (19),08:27:00 (10),15:30:00 (19),08:57:00 (10),16:30:00 (19),16:52:00 (19),09:57:00 (10),,11:27:00 (10),17:22:00 (19),,12:57:00 (10),17:47:00 (19),13:57:00 (10),17:57:00 (19),14:57:00 (10),18:10:00 (19),15:57:00 (10),18:22:00 (19),16:57:00 (10),18:40:00 (19),18:52:00 (19),17:57:00 (10),19:10:00 (19),,19:48:00 (19),18:57:00 (10),20:30:00 (19),19:57:00 (10),21:30:00 (19),20:57:00 (10),22:30:00 (19),21:57:00 (10),23:30:00 (19),22:57:00 (10),24:30:00 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
