,stop_name
217,9TH STREET LIGHT RAIL STATION
218,BERGENLINE AVE
219,TONNELLE AVENUE LIGHT RAIL STATION
220,BROAD STREET LIGHT RAIL STATION
221,RIVERFRONT STADIUM LIGHT RAIL STATION
222,HARRIET TUBMAN SQUARE LIGHT RAIL STATION
223,ATLANTIC STREET LIGHT RAIL STATION
224,NJPAC/CENTRE STREET LIGHT RAIL STATION
225,HOBOKEN TERMINAL LIGHT RAIL STATION
226,PENN STATION LIGHT RAIL ARRIVAL
227,8TH STREET LIGHT RAIL STATION
228,PENNSAUKEN TRANSIT CENTER LIGHT RAIL STA
