"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1287822","39.766157","-104.991793","167",
"1287822","39.766294","-104.991717","168",
"1287822","39.766294","-104.991717","169",
"1287822","39.766393","-104.991656","170",
"1287822","39.766393","-104.991656","171",
"1287822","39.76649","-104.99159","172",
"1287822","39.76649","-104.99159","173",
"1287822","39.766585","-104.991519","174",
"1287822","39.766585","-104.991519","175",
"1287822","39.766677","-104.991443","176",
"1287822","39.766677","-104.991443","177",
"1287822","39.766751","-104.991379","178",
"1287822","39.766751","-104.991379","179",
"1287822","39.766809","-104.991326","180",
"1287822","39.766809","-104.991326","181",
"1287822","39.767027","-104.991117","182",
"1287822","39.767027","-104.991117","183",
"1287822","39.767246","-104.990904","184",
"1287822","39.767246","-104.990904","185",
"1287822","39.767466","-104.99069","186",
"1287822","39.767466","-104.99069","187",
"1287822","39.767834","-104.990333","188",
"1287822","39.767834","-104.990333","189",
"1287822","39.767938","-104.990232","190",
"1287822","39.767938","-104.990232","191",
"1287822","39.768243","-104.98993","192",
"1287822","39.768243","-104.98993","193",
"1287822","39.768257","-104.989914","194",
"1287822","39.768257","-104.989914","195",
"1287822","39.768282","-104.989887","196",
"1287822","39.768282","-104.989887","197",
"1287822","39.768307","-104.98986","198",
"1287822","39.768307","-104.98986","199",
"1287822","39.768331","-104.989832","200",
"1287822","39.768331","-104.989832","201",
"1287822","39.768356","-104.989805","202",
"1287822","39.768356","-104.989805","203",
"1287822","39.768381","-104.989778","204",
"1287822","39.768381","-104.989778","205",
"1287822","39.768405","-104.989751","206",
"1287822","39.768405","-104.989751","207",
"1287822","39.76843","-104.989723","208",
"1287822","39.76843","-104.989723","209",
"1287822","39.768455","-104.989696","210",
"1287822","39.768455","-104.989696","211",
"1287822","39.768479","-104.989668","212",
"1287822","39.768479","-104.989668","213",
"1287822","39.768504","-104.98964","214",
"1287822","39.768504","-104.98964","215",
"1287822","39.768528","-104.989613","216",
"1287822","39.768528","-104.989613","217",
"1287822","39.768691","-104.989422","218",
"1287822","39.768691","-104.989422","219",
"1287822","39.76885","-104.989226","220",
"1287822","39.76885","-104.989226","221",
"1287822","39.768874","-104.989196","222",
"1287822","39.768874","-104.989196","223",
"1287822","39.768897","-104.989167","224",
"1287822","39.768897","-104.989167","225",
"1287822","39.76892","-104.989137","226",
"1287822","39.76892","-104.989137","227",
"1287822","39.768943","-104.989108","228",
"1287822","39.768943","-104.989108","229",
"1287822","39.768966","-104.989078","230",
"1287822","39.768966","-104.989078","231",
"1287822","39.768989","-104.989048","232",
"1287822","39.768989","-104.989048","233",
"1287822","39.769011","-104.989018","234",
"1287822","39.769011","-104.989018","235",
"1287822","39.769034","-104.988988","236",
"1287822","39.769034","-104.988988","237",
"1287822","39.769057","-104.988959","238",
"1287822","39.769057","-104.988959","239",
"1287822","39.76908","-104.988929","240",
"1287822","39.76908","-104.988929","241",
"1287822","39.769103","-104.988899","242",
"1287822","39.769103","-104.988899","243",
"1287822","39.772835","-104.984002","244",
"1287822","39.772835","-104.984002","245",
"1287822","39.77612","-104.97969","246",
"1287822","39.77612","-104.97969","247",
"1287822","39.776258","-104.97951","248",
"1287822","39.776258","-104.97951","249",
"1287822","39.779397","-104.975389","250",
"1287822","39.779397","-104.975389","251",
"1287822","39.779421","-104.975358","252",
"1287822","39.779421","-104.975358","253",
"1287822","39.779446","-104.975326","254",
"1287822","39.779446","-104.975326","255",
"1287822","39.77947","-104.975294","256",
"1287822","39.77947","-104.975294","257",
"1287822","39.779494","-104.975263","258",
"1287822","39.779494","-104.975263","259",
"1287822","39.779518","-104.975231","260",
"1287822","39.779518","-104.975231","261",
"1287822","39.779542","-104.975199","262",
"1287822","39.779542","-104.975199","263",
"1287822","39.779566","-104.975168","264",
"1287822","39.779566","-104.975168","265",
"1287822","39.77959","-104.975136","266",
"1287822","39.77959","-104.975136","267",
"1287822","39.779794","-104.974874","268",
"1287822","39.779794","-104.974874","269",
"1287822","39.779999","-104.974614","270",
"1287822","39.779999","-104.974614","271",
"1287822","39.780024","-104.974583","272",
"1287822","39.780024","-104.974583","273",
"1287822","39.780048","-104.974552","274",
"1287822","39.780048","-104.974552","275",
"1287822","39.780073","-104.974522","276",
"1287822","39.780073","-104.974522","277",
"1287822","39.780098","-104.974491","278",
"1287822","39.780098","-104.974491","279",
"1287822","39.780123","-104.97446","280",
"1287822","39.780123","-104.97446","281",
"1287822","39.780147","-104.974429","282",
"1287822","39.780147","-104.974429","283",
"1287822","39.780172","-104.974398","284",
"1287822","39.780172","-104.974398","285",
"1287822","39.780197","-104.974368","286",
"1287822","39.780197","-104.974368","287",
"1287822","39.780674","-104.973774","288",
"1287822","39.780674","-104.973774","289",
"1287822","39.780699","-104.973743","290",
"1287822","39.780699","-104.973743","291",
"1287822","39.780724","-104.973712","292",
"1287822","39.780724","-104.973712","293",
"1287822","39.780749","-104.973681","294",
"1287822","39.780749","-104.973681","295",
"1287822","39.780773","-104.973651","296",
"1287822","39.780773","-104.973651","297",
"1287822","39.780798","-104.97362","298",
"1287822","39.780798","-104.97362","299",
"1287822","39.780823","-104.973589","300",
"1287822","39.780823","-104.973589","301",
"1287822","39.780847","-104.973558","302",
"1287822","39.780847","-104.973558","303",
"1287822","39.780872","-104.973527","304",
"1287822","39.780872","-104.973527","305",
"1287822","39.781088","-104.973253","306",
"1287822","39.781088","-104.973253","307",
"1287822","39.781303","-104.972976","308",
"1287822","39.781303","-104.972976","309",
"1287822","39.781327","-104.972945","310",
"1287822","39.781327","-104.972945","311",
"1287822","39.781351","-104.972913","312",
"1287822","39.781351","-104.972913","313",
"1287822","39.781375","-104.972881","314",
"1287822","39.781375","-104.972881","315",
"1287822","39.781399","-104.97285","316",
"1287822","39.781399","-104.97285","317",
"1287822","39.781424","-104.972818","318",
"1287822","39.781424","-104.972818","319",
"1287822","39.781448","-104.972786","320",
"1287822","39.781448","-104.972786","321",
"1287822","39.781472","-104.972755","322",
"1287822","39.781472","-104.972755","323",
"1287822","39.781496","-104.972723","324",
"1287822","39.781496","-104.972723","325",
"1287822","39.786112","-104.96665","326",
"1287822","39.786112","-104.96665","327",
"1287822","39.786136","-104.966619","328",
"1287822","39.786136","-104.966619","329",
"1287822","39.78616","-104.966587","330",
"1287822","39.78616","-104.966587","331",
"1287822","39.786184","-104.966555","332",
"1287822","39.786184","-104.966555","333",
"1287822","39.786209","-104.966524","334",
"1287822","39.786209","-104.966524","335",
"1287822","39.786233","-104.966492","336",
"1287822","39.786233","-104.966492","337",
"1287822","39.786257","-104.96646","338",
"1287822","39.786257","-104.96646","339",
"1287822","39.786281","-104.966428","340",
"1287822","39.786281","-104.966428","341",
"1287822","39.786305","-104.966396","342",
"1287822","39.786305","-104.966396","343",
"1287822","39.78651","-104.966121","344",
"1287822","39.78651","-104.966121","345",
"1287822","39.786534","-104.966089","346",
"1287822","39.786534","-104.966089","347",
"1287822","39.786558","-104.966056","348",
"1287822","39.786558","-104.966056","349",
"1287822","39.786582","-104.966024","350",
"1287822","39.786582","-104.966024","351",
"1287822","39.786605","-104.965992","352",
"1287822","39.786605","-104.965992","353",
"1287822","39.786629","-104.96596","354",
"1287822","39.786629","-104.96596","355",
