"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1305773","39.766157","-104.991793","167",
"1305773","39.766294","-104.991717","168",
"1305773","39.766294","-104.991717","169",
"1305773","39.766393","-104.991656","170",
"1305773","39.766393","-104.991656","171",
"1305773","39.76649","-104.99159","172",
"1305773","39.76649","-104.99159","173",
"1305773","39.766585","-104.991519","174",
"1305773","39.766585","-104.991519","175",
"1305773","39.766677","-104.991443","176",
"1305773","39.766677","-104.991443","177",
"1305773","39.766751","-104.991379","178",
"1305773","39.766751","-104.991379","179",
"1305773","39.766809","-104.991326","180",
"1305773","39.766809","-104.991326","181",
"1305773","39.767027","-104.991117","182",
"1305773","39.767027","-104.991117","183",
"1305773","39.767246","-104.990904","184",
"1305773","39.767246","-104.990904","185",
"1305773","39.767466","-104.99069","186",
"1305773","39.767466","-104.99069","187",
"1305773","39.767834","-104.990333","188",
"1305773","39.767834","-104.990333","189",
"1305773","39.767938","-104.990232","190",
"1305773","39.767938","-104.990232","191",
"1305773","39.768243","-104.98993","192",
"1305773","39.768243","-104.98993","193",
"1305773","39.768257","-104.989914","194",
"1305773","39.768257","-104.989914","195",
"1305773","39.768282","-104.989887","196",
"1305773","39.768282","-104.989887","197",
"1305773","39.768307","-104.98986","198",
"1305773","39.768307","-104.98986","199",
"1305773","39.768331","-104.989832","200",
"1305773","39.768331","-104.989832","201",
"1305773","39.768356","-104.989805","202",
"1305773","39.768356","-104.989805","203",
"1305773","39.768381","-104.989778","204",
"1305773","39.768381","-104.989778","205",
"1305773","39.768405","-104.989751","206",
"1305773","39.768405","-104.989751","207",
"1305773","39.76843","-104.989723","208",
"1305773","39.76843","-104.989723","209",
"1305773","39.768455","-104.989696","210",
"1305773","39.768455","-104.989696","211",
"1305773","39.768479","-104.989668","212",
"1305773","39.768479","-104.989668","213",
"1305773","39.768504","-104.98964","214",
"1305773","39.768504","-104.98964","215",
"1305773","39.768528","-104.989613","216",
"1305773","39.768528","-104.989613","217",
"1305773","39.768691","-104.989422","218",
"1305773","39.768691","-104.989422","219",
"1305773","39.76885","-104.989226","220",
"1305773","39.76885","-104.989226","221",
"1305773","39.768874","-104.989196","222",
"1305773","39.768874","-104.989196","223",
"1305773","39.768897","-104.989167","224",
"1305773","39.768897","-104.989167","225",
"1305773","39.76892","-104.989137","226",
"1305773","39.76892","-104.989137","227",
"1305773","39.768943","-104.989108","228",
"1305773","39.768943","-104.989108","229",
"1305773","39.768966","-104.989078","230",
"1305773","39.768966","-104.989078","231",
"1305773","39.768989","-104.989048","232",
"1305773","39.768989","-104.989048","233",
"1305773","39.769011","-104.989018","234",
"1305773","39.769011","-104.989018","235",
"1305773","39.769034","-104.988988","236",
"1305773","39.769034","-104.988988","237",
"1305773","39.769057","-104.988959","238",
"1305773","39.769057","-104.988959","239",
"1305773","39.76908","-104.988929","240",
"1305773","39.76908","-104.988929","241",
"1305773","39.769103","-104.988899","242",
"1305773","39.769103","-104.988899","243",
"1305773","39.772835","-104.984002","244",
"1305773","39.772835","-104.984002","245",
"1305773","39.77612","-104.97969","246",
"1305773","39.77612","-104.97969","247",
"1305773","39.776258","-104.97951","248",
"1305773","39.776258","-104.97951","249",
"1305773","39.779397","-104.975389","250",
"1305773","39.779397","-104.975389","251",
"1305773","39.779421","-104.975358","252",
"1305773","39.779421","-104.975358","253",
"1305773","39.779446","-104.975326","254",
"1305773","39.779446","-104.975326","255",
"1305773","39.77947","-104.975294","256",
"1305773","39.77947","-104.975294","257",
"1305773","39.779494","-104.975263","258",
"1305773","39.779494","-104.975263","259",
"1305773","39.779518","-104.975231","260",
"1305773","39.779518","-104.975231","261",
"1305773","39.779542","-104.975199","262",
"1305773","39.779542","-104.975199","263",
"1305773","39.779566","-104.975168","264",
"1305773","39.779566","-104.975168","265",
"1305773","39.77959","-104.975136","266",
"1305773","39.77959","-104.975136","267",
"1305773","39.779794","-104.974874","268",
"1305773","39.779794","-104.974874","269",
"1305773","39.779999","-104.974614","270",
"1305773","39.779999","-104.974614","271",
"1305773","39.780024","-104.974583","272",
"1305773","39.780024","-104.974583","273",
"1305773","39.780048","-104.974552","274",
"1305773","39.780048","-104.974552","275",
"1305773","39.780073","-104.974522","276",
"1305773","39.780073","-104.974522","277",
"1305773","39.780098","-104.974491","278",
"1305773","39.780098","-104.974491","279",
"1305773","39.780123","-104.97446","280",
"1305773","39.780123","-104.97446","281",
"1305773","39.780147","-104.974429","282",
"1305773","39.780147","-104.974429","283",
"1305773","39.780172","-104.974398","284",
"1305773","39.780172","-104.974398","285",
"1305773","39.780197","-104.974368","286",
"1305773","39.780197","-104.974368","287",
"1305773","39.780674","-104.973774","288",
"1305773","39.780674","-104.973774","289",
"1305773","39.780699","-104.973743","290",
"1305773","39.780699","-104.973743","291",
"1305773","39.780724","-104.973712","292",
"1305773","39.780724","-104.973712","293",
"1305773","39.780749","-104.973681","294",
"1305773","39.780749","-104.973681","295",
"1305773","39.780773","-104.973651","296",
"1305773","39.780773","-104.973651","297",
"1305773","39.780798","-104.97362","298",
