from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246068224606922+1123567+1,246068224606922+1123149+1,1,
33,33,,,246069724607063+1123569+1,246069724606993+1123149+1,1,
33,33,,,246066824606711+1123578+1,246066824606721+1123159+1,1,
33,33,,,246066824606712+1123578+1,246066824606722+1123159+1,1,
33,33,,,246068224606923+1123582+1,246068224606923+1123161+1,1,
33,33,,,246072524607272+1123582+1,246072524607272+1123161+1,1,
33,33,,,246072524607274+1123582+1,246072524607274+1123161+1,1,
33,33,,,246069724607063+1123584+1,246069724607063+1123161+1,1,
33,33,,,246067624606762+1123591+0,246067624606762+1120313+0,1,
33,33,,,246071024607204+1123592+0,246070324607204+1120314+0,1,
33,33,,,246072524607273+1123592+0,246072524607273+1120314+0,1,
33,33,,,246073124608112+1123592+0,246073124608112+1120314+0,1,
33,33,,,246069724607064+1123594+0,246069724606994+1120314+0,1,
33,33,,,246070324607031+1123595+0,246070324607201+1120314+0,1,
33,33,,,246067224606725+1123598+0,246066824606725+1123176+0,1,
33,33,,,246070324607201+1123602+0,246070324607031+1123179+0,1,
33,33,,,246066524606655+1123610+0,246066524606655+1123194+0,1,
33,33,,,246067524606795+1123612+0,246067924608125+1123194+0,1,
33,33,,,246068224606934+1123612+0,246068224606924+1123197+0,1,
33,33,,,246073124608124+1123612+0,246073124608114+1123197+0,1,
33,33,,,246070324607212+1123613+0,246069724607062+1123197+0,1,
33,33,,,246070324607214+1123613+0,246071024607204+1123197+0,1,
33,33,,,246072524607273+1123628+0,246072524607273+1123211+0,1,
33,33,,,246067924608125+1123629+0,246068624608125+1123208+0,1,
33,33,,,246070324607201+1123646+0,246070324607201+1123231+0,1,
33,33,,,246067924608125+1123647+0,246067924608125+1123227+0,1,
33,33,,,246069724606992+1123652+0,246069724606992+1123248+0,1,
33,33,,,246068224606923+1123652+0,246068224606923+1123248+0,1,
33,33,,,246068224606924+1123652+0,246068224606924+1123248+0,1,
33,33,,,246068624608125+1123662+0,246067924608125+1123261+0,1,
33,33,,,246067824606784+1123666+0,246067824606784+1123266+0,1,
33,33,,,246068224606923+1123666+0,246068224606923+1123266+0,1,
33,33,,,246070324607203+1123667+0,246069724607063+1123266+0,1,
33,33,,,246067824606784+1123677+0,246067824606784+1123294+0,1,
33,33,,,246073124608112+1123677+0,246073124608112+1123294+0,1,
33,33,,,246066824606724+1124109+0,246066824606714+1123324+0,1,
33,33,,,246071024607203+1124112+0,246070324607203+1123328+0,1,
33,33,,,246072524607272+1124112+0,246072524607272+1123328+0,1,
33,33,,,246073124608111+1124112+0,246073124608111+1123328+0,1,
33,33,,,246073124608112+1124112+0,246073124608112+1123328+0,1,
33,33,,,246073124608113+1124112+0,246073124608113+1123328+0,1,
33,33,,,246069724607064+1124113+0,246069724606994+1123328+0,1,
33,33,,,246068624608125+1124207+0,246067924608125+1123336+0,1,
33,33,,,246073124608111+1124211+0,246073124608111+1123340+0,1,
33,33,,,246070324607204+1124212+0,246070324607204+1123340+0,1,
33,33,,,246066824606725+1124235+0,246066824606725+1123342+0,1,
33,33,,,246067524606782+1124236+0,246067524606792+1123343+0,1,
33,33,,,246067924608125+1124237+0,246071424608125+1123343+0,1,
33,33,,,246068224606924+1124238+0,246068224606924+1123344+0,1,
33,33,,,246072524607272+1124238+0,246072524607272+1123344+0,1,
33,33,,,246072524607274+1124238+0,246072524607274+1123344+0,1,
33,33,,,246073124608113+1124238+0,246073124608113+1123344+0,1,
33,33,,,246070324607201+1124239+0,246071024607201+1123344+0,1,
33,33,,,246070324607202+1124239+0,246071024607202+1123344+0,1,
33,33,,,246070324607203+1124239+0,246071024607203+1123344+0,1,
33,33,,,246070324607204+1124239+0,246071024607204+1123344+0,1,
33,33,,,246067424606747+1124271+0,246066724606747+1126885+0,1,
33,33,,,246068024608136+1124273+0,246068024608136+1126888+0,1,
33,33,,,246069524606957+1124275+0,246069524606957+1126890+0,1,
33,33,,,246067724606773+1124308+0,246067724606773+1126904+0,1,
33,33,,,246068024608136+1124309+0,246068024608136+1126905+0,1,
33,33,,,246067924608125+1124322+0,246067924608125+1123351+0,1,
33,33,,,246066824606724+1124323+0,246066824606714+1123352+0,1,
33,33,,,246072524607274+1124325+0,246072524607274+1123355+0,1,
33,33,,,246073124608114+1124325+0,246073124608114+1123355+0,1,
33,33,,,246069724607063+1124326+0,246069724606993+1123355+0,1,
