route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,246066524606655,246066524606655+1117595+1,Grand Central,1213,1,,5,1,1
3,246066524606655,246066524606655+1117599+1,Grand Central,1221,1,,5,1,1
3,246066524606655,246066524606655+1117603+1,Grand Central,1225,1,,5,1,1
3,246066524606655,246066524606655+1117609+1,Grand Central,1229,1,,5,1,1
3,246066524606655,246066524606655+1117621+1,Grand Central,1233,1,,5,1,1
3,246066524606655,246066524606655+1117643+1,Harrison,1244,0,,16,1,1
3,246066524606655,246066524606655+1117657+1,Harrison,1254,0,,16,1,1
3,246066524606655,246066524606655+1117662+1,New Rochelle,1256,0,,16,1,1
3,246066524606655,246066524606655+1117675+1,Harrison,1264,0,,16,1,1
3,246066524606655,246066524606655+1117680+1,New Rochelle,1268,0,,16,1,1
3,246066524606655,246066524606655+1117685+1,Harrison,1270,0,,16,1,1
3,246066524606655,246066524606655+1117693+1,Harrison,1274,0,,16,1,1
3,246066524606655,246066524606655+1117706+0,Grand Central,1279,1,,5,1,0
3,246066524606655,246066524606655+1117719+0,Stamford,1300,0,,16,1,0
3,246066524606655,246066524606655+1117729+0,Stamford,1302,0,,16,1,0
3,246066524606655,246066524606655+1117738+1,Grand Central,1303,1,,5,1,1
3,246066524606655,246066524606655+1117743+0,Stamford,1304,0,,16,1,0
3,246066524606655,246066524606655+1117747+1,Grand Central,1305,1,,5,1,1
3,246066524606655,246066524606655+1117751+0,Greenwich,1306,0,,16,1,0
3,246066524606655,246066524606655+1117754+1,Grand Central,1307,1,,5,1,1
3,246066524606655,246066524606655+1117756+1,Greenwich,1308,0,,16,1,1
3,246066524606655,246066524606655+1117763+1,Grand Central,1309,1,,5,1,1
3,246066524606655,246066524606655+1117766+1,Greenwich,1310,0,,16,1,1
3,246066524606655,246066524606655+1117773+1,Grand Central,1311,1,,5,1,1
3,246066524606655,246066524606655+1117778+1,Stamford,1312,0,,16,1,1
3,246066524606655,246066524606655+1117787+1,Stamford,1314,0,,16,1,1
3,246066524606655,246066524606655+1117791+1,Grand Central,1315,1,,5,1,1
3,246066524606655,246066524606655+1117799+0,Stamford,1316,0,,16,1,0
3,246066524606655,246066524606655+1117803+1,Grand Central,1317,1,,5,1,1
3,246066524606655,246066524606655+1117805+0,Stamford,1318,0,,16,1,0
3,246066524606655,246066524606655+1117822+1,Grand Central,1321,1,,5,1,1
3,246066524606655,246066524606655+1117828+0,Stamford,1322,0,,16,1,0
3,246066524606655,246066524606655+1117844+0,Stamford,1326,0,,16,1,0
3,246066524606655,246066524606655+1117852+1,Grand Central,1327,1,,5,1,1
3,246066524606655,246066524606655+1117877+1,Grand Central,1331,1,,5,1,1
3,246066524606655,246066524606655+1117880+0,Stamford,1332,0,,16,1,0
3,246066524606655,246066524606655+1117888+1,Grand Central,1333,1,,5,1,1
3,246066524606655,246066524606655+1117893+0,Stamford,1334,0,,16,1,0
3,246066524606655,246066524606655+1117901+1,Grand Central,1335,1,,5,1,1
3,246066524606655,246066524606655+1117919+0,Grand Central,1339,1,,5,1,0
3,246066524606655,246066524606655+1117944+0,Stamford,1342,0,,16,1,0
3,246066524606655,246066524606655+1117953+1,Stamford,1346,0,,16,1,1
3,246066524606655,246066524606655+1117968+0,Grand Central,1349,1,,5,1,0
3,246066524606655,246066524606655+1117973+0,Grand Central,1351,1,,5,1,0
3,246066524606655,246066524606655+1117980+1,Stamford,1352,0,,16,1,1
3,246066524606655,246066524606655+1117991+0,Grand Central,1355,1,,5,1,0
3,246066524606655,246066524606655+1118031+1,Old Greenwich,1362,0,,16,1,1
3,246066524606655,246066524606655+1118038+0,Grand Central,1363,1,,5,1,0
3,246066524606655,246066524606655+1118048+0,Grand Central,1367,1,,5,1,0
3,246066524606655,246066524606655+1118062+0,Grand Central,1369,1,,5,1,0
3,246066524606655,246066524606655+1118099+0,Grand Central,1375,1,,5,1,0
3,246066524606655,246066524606655+1118105+1,Stamford,1376,0,,16,1,1
3,246066524606655,246066524606655+1118112+0,Grand Central,1379,1,,5,1,0
3,246066524606655,246066524606655+1118117+0,Grand Central,1381,1,,5,1,0
3,246066524606655,246066524606655+1118122+1,Stamford,1382,0,,16,1,1
3,246066524606655,246066524606655+1118137+0,Stamford,1384,0,,16,1,0
3,246066524606655,246066524606655+1118150+0,Stamford,1386,0,,16,1,0
3,246066524606655,246066524606655+1118157+0,Grand Central,1387,1,,5,1,0
3,246066524606655,246066524606655+1118162+0,Stamford,1388,0,,16,1,0
3,246066524606655,246066524606655+1118168+0,Grand Central,1389,1,,5,1,0
3,246066524606655,246066524606655+1118173+0,Stamford,1390,0,,16,1,0
3,246066524606655,246066524606655+1118186+0,Stamford,1392,0,,16,1,0
3,246066524606655,246066524606655+1118200+0,Stamford,1394,0,,16,1,0
3,246066524606655,246066524606655+1118207+0,Grand Central,1395,1,,5,1,0
3,246066524606655,246066524606655+1118219+0,Stamford,1398,0,,16,1,0
3,246066524606655,246066524606655+1118227+0,Grand Central,1399,1,,5,1,0
3,246066524606655,246066524606655+1118233+0,New Haven,1402,0,,16,1,0
3,246066524606655,246066524606655+1118236+0,Stamford,1404,0,,16,1,0
3,246066524606655,246066524606655+1118241+1,Stamford,1406,0,,16,1,1
3,246066524606655,246066524606655+1118243+1,Grand Central,1407,1,,5,1,1
3,246066524606655,246066524606655+1118245+1,Stamford,1408,0,,16,1,1
3,246066524606655,246066524606655+1118249+1,Grand Central,1409,1,,5,1,1
3,246066524606655,246066524606655+1118251+1,Stamford,1410,0,,16,1,1
3,246066524606655,246066524606655+1118254+0,New Haven,1416,0,,16,1,0
3,246066524606655,246066524606655+1118266+1,Grand Central,1429,1,,5,1,1
3,246066524606655,246066524606655+1118273+1,Grand Central,1431,1,,5,1,1
3,246066524606655,246066524606655+1118279+1,Grand Central,1433,1,,5,1,1
3,246066524606655,246066524606655+1118297+0,Grand Central,1445,1,,5,1,0
3,246066524606655,246066524606655+1118303+1,Bridgeport,1456,0,,16,1,1
3,246066524606655,246066524606655+1118313+1,South Norwalk,1458,0,,16,1,1
3,246066524606655,246066524606655+1118324+0,Grand Central,1471,1,,5,1,0
3,246066524606655,246066524606655+1118339+0,Grand Central,1497,1,,5,1,0
3,246066524606655,246066524606655+1118347+0,New Haven,1500,0,,16,1,0
3,246066524606655,246066524606655+1118353+0,New Haven,1502,0,,16,1,0
3,246066524606655,246066524606655+1118359+0,Grand Central,1503,1,,5,1,0
3,246066524606655,246066524606655+1118367+0,New Haven-State St,1504,0,,16,1,0
3,246066524606655,246066524606655+1118370+1,New Haven-State St,1506,0,,16,1,1
3,246066524606655,246066524606655+1118376+1,Grand Central,1507,1,,5,1,1
3,246066524606655,246066524606655+1118383+1,New Haven,1508,0,,16,1,1
3,246066524606655,246066524606655+1118389+1,Grand Central,1509,1,,5,1,1
3,246066524606655,246066524606655+1118395+1,New Haven-State St,1510,0,,16,1,1
3,246066524606655,246066524606655+1118397+1,Grand Central,1511,1,,5,1,1
3,246066524606655,246066524606655+1118399+1,New Haven,1512,0,,16,1,1
3,246066524606655,246066524606655+1118404+1,Grand Central,1513,1,,5,1,1
3,246066524606655,246066524606655+1118406+1,New Haven-State St,1514,0,,16,1,1
3,246066524606655,246066524606655+1118418+1,Grand Central,1517,1,,5,1,1
3,246066524606655,246066524606655+1118430+0,New Haven,1520,0,,16,1,0
3,246066524606655,246066524606655+1118442+0,New Haven,1524,0,,16,1,0
3,246066524606655,246066524606655+1118450+1,Grand Central,1525,1,,5,1,1
3,246066524606655,246066524606655+1118455+0,New Haven,1526,0,,16,1,0
3,246066524606655,246066524606655+1118458+0,New Haven,1528,0,,16,1,0
3,246066524606655,246066524606655+1118479+1,Grand Central,1531,1,,5,1,1
3,246066524606655,246066524606655+1118487+0,New Haven,1532,0,,16,1,0
3,246066524606655,246066524606655+1118494+1,Grand Central,1533,1,,5,1,1
3,246066524606655,246066524606655+1118502+1,Grand Central,1535,1,,5,1,1
3,246066524606655,246066524606655+1118505+0,New Haven,1536,0,,16,1,0
