shape_id,distance
1,117.11398623702584
2,117.11398623702584
3,131.90815067260553
4,124.04317075120598
5,117.09860634081745
6,109.23362721071423
7,86.57371664971183
8,65.78301701070792
10,103.94863453720578
11,140.71374020241012
12,117.11398623702573
13,117.11398623702573
14,131.9081506726054
15,124.04317154250231
16,117.09860634081713
17,109.23362721071409
18,86.57371664971183
19,65.78301701070804
21,103.94863453720573
22,140.71374020240958
25,1.089418587008537
26,1.089418587008537
27,0.0
28,0.0
31,0.0
32,0.0
33,98.37517471148745
34,98.37517471148746
45,112.2362067294446
46,112.23620672944462
47,78.8371726203388
48,78.83717262033882
49,63.60595131975223
50,63.605951319752236
51,45.35294676963423
52,45.35294676963422
55,6.640466246466851
56,9.086653427216863
