stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,station_id_additional
1939,1939.0,775 Centre St,,,,42.309949,-71.115345,LocalBus,,https://www.mbta.com/stops/1939,,0,,1,Boston,Centre Street,Greenough Avenue,3.0,[]
1940,1940.0,Centre St @ Aldworth St,,,,42.308799,-71.118664,LocalBus,,https://www.mbta.com/stops/1940,,0,,1,Boston,Centre Street,Aldworth Street,3.0,[]
19402,19402.0,Washington St @ W Newton St,Washington St @ W Newton St - Silver Line - Nubian,,Nubian,42.338788,-71.073825,ExpressBus-Downtown,"Washington St and West Newton St, Boston, MA",https://www.mbta.com/stops/19402,level_in_street,0,,1,Boston,Washington Street,West Newton Street,3.0,[]
1941,1941.0,Centre St @ Orchard St,,,,42.309015,-71.120326,LocalBus,,https://www.mbta.com/stops/1941,,0,,1,Boston,Centre Street,Orchard Street,3.0,[]
19573,19573.0,Pleasant St opp Frances St,,,,42.449291,-71.07053,LocalBus,,https://www.mbta.com/stops/19573,,0,,1,Melrose,Pleasant Street,Frances Street,3.0,[]
19618,19618.0,Washington St @ Harmony Hill Way,,,,42.234627,-71.183304,LocalBus,,https://www.mbta.com/stops/19618,,0,,1,Dedham,Washington Street,Elm Street,3.0,[]
1965,1965.0,Boylston St @ Star Market - Service Rd,,,,42.32308,-71.166535,LocalBus,,https://www.mbta.com/stops/1965,,0,,1,Newton,,,3.0,[]
19661,19661.0,Mall at Chestnut Hill @ Bloomingdale's,,,,42.321841,-71.177708,LocalBus,,https://www.mbta.com/stops/19661,,0,,1,Newton,,,3.0,[]
19821,19821.0,Boylston St @ Tully St,,,,42.322323,-71.167627,LocalBus,,https://www.mbta.com/stops/19821,,0,,1,Brookline,Boylston Street,Tully Street,3.0,[]
1984,1984.0,Boylston St @ Hammond St,,,,42.323275,-71.163979,LocalBus,,https://www.mbta.com/stops/1984,,0,,1,Brookline,Boylston Street,Hammond Street,3.0,[]
1994,1994.0,Winship St @ Union St,,,,42.346188,-71.152449,LocalBus,,https://www.mbta.com/stops/1994,,0,,1,Boston,Winship Street,Union Street,3.0,[]
2,2.0,Washington St @ Melnea Cass Blvd,,,,42.332324,-71.081252,ExpressBus-Downtown,,https://www.mbta.com/stops/2,,0,,1,Boston,Washington Street,,3.0,[]
20,20.0,Dorchester St @ E Broadway,,,,42.335377,-71.045728,LocalBus,,https://www.mbta.com/stops/20,,0,,1,Boston,Dorchester Street,West Broadway,3.0,[]
2002,2002.0,Centre St @ Arborway,,,,42.308863,-71.11995,LocalBus,,https://www.mbta.com/stops/2002,,0,,2,Boston,Centre Street,Arborway,3.0,[]
2003,2003.0,Centre St @ Ballard St,,,,42.308723,-71.11811,LocalBus,,https://www.mbta.com/stops/2003,,0,,2,Boston,Centre Street,Ballard Street,3.0,[]
2006,2006.0,South St @ Jamaica St,,,,42.306131,-71.115091,LocalBus,,https://www.mbta.com/stops/2006,,0,,1,Boston,South Street,Jamaica Street,3.0,[]
2007,2007.0,South St @ St Rose St,,,,42.304396,-71.114769,LocalBus,,https://www.mbta.com/stops/2007,,0,,1,Boston,South Street,Saint Rose Street,3.0,[]
2020,2020.0,Mt Auburn St @ Story St,,,,42.373515,-71.12327,LocalBus,,https://www.mbta.com/stops/2020,,0,,1,Cambridge,Mount Auburn Street,Nutting Road,3.0,[]
2021,2021.0,Mt Auburn St @ Ash St,,,,42.374356,-71.12563,LocalBus,,https://www.mbta.com/stops/2021,,0,,1,Cambridge,Mount Auburn Street,Ash Street,3.0,[]
2023,2023.0,Mt Auburn St @ Sparks St,,,,42.374729,-71.130454,LocalBus,,https://www.mbta.com/stops/2023,,0,,1,Cambridge,Mount Auburn Street,Sparks Street,3.0,[]
2025,2025.0,Mt Auburn St @ Longfellow Rd,,,,42.374987,-71.134068,LocalBus,,https://www.mbta.com/stops/2025,,0,,1,Cambridge,Mount Auburn Street,Longfellow Road,3.0,[]
2026,2026.0,Mt Auburn St @ Traill St,,,,42.375072,-71.136647,LocalBus,,https://www.mbta.com/stops/2026,,0,,1,Cambridge,Mount Auburn Street,Traill Street,3.0,[]
2027,2027.0,Mt Auburn St opp Coolidge Ave,,,,42.375044,-71.139963,LocalBus,,https://www.mbta.com/stops/2027,,0,,1,Cambridge,Mount Auburn Street,Coolidge Avenue,3.0,[]
2028,2028.0,Mt Auburn St @ Brattle St,,,,42.375405,-71.142976,LocalBus,,https://www.mbta.com/stops/2028,,0,,0,Cambridge,Mount Auburn Street,Brattle Street,3.0,[]
2030,2030.0,Mt Auburn St @ Homer Ave,,,,42.374974,-71.148307,LocalBus,,https://www.mbta.com/stops/2030,,0,,1,Cambridge,Mount Auburn Street,Homer Avenue,3.0,[]
2032,2032.0,Mt Auburn St @ Saint Marys St,,,,42.3739,-71.152444,LocalBus,,https://www.mbta.com/stops/2032,,0,,0,Watertown,Mount Auburn Street,French Terrace,3.0,[]
2033,2033.0,Mt Auburn St @ Keenan St,,,,42.372849,-71.155032,LocalBus,,https://www.mbta.com/stops/2033,,0,,1,Watertown,Mount Auburn Street,Keenan Street,3.0,[]
2034,2034.0,Mt Auburn St @ Kimball Rd,,,,42.371608,-71.157636,LocalBus,,https://www.mbta.com/stops/2034,,0,,1,Watertown,Mount Auburn Street,Bigelow Avenue,3.0,[]
2036,2036.0,Mt Auburn St @ Upland Rd,,,,42.370398,-71.160617,LocalBus,,https://www.mbta.com/stops/2036,,0,,1,Watertown,Mount Auburn Street,Upland Road,3.0,[]
2037,2037.0,Mt Auburn St @ Winsor Ave,,,,42.370899,-71.163428,LocalBus,,https://www.mbta.com/stops/2037,,0,,1,Watertown,Mount Auburn Street,Langdon Avenue,3.0,[]
2038,2038.0,Mt Auburn St @ Adams Ave,,,,42.370076,-71.166657,LocalBus,,https://www.mbta.com/stops/2038,,0,,0,Watertown,Mount Auburn Street,Chauncey Street,3.0,[]
204,204.0,Congress St opp North St,,,,42.359546,-71.057192,LocalBus,,https://www.mbta.com/stops/204,,0,,1,Boston,Congress Street,North Street,3.0,[]
2040,2040.0,Mt Auburn St @ Amherst Rd,,,,42.370094,-71.171006,LocalBus,,https://www.mbta.com/stops/2040,,0,,0,Watertown,Mount Auburn Street,Amherst Road,3.0,[]
2042,2042.0,Mt Auburn St @ Russell Ave,,,,42.36848,-71.176239,LocalBus,,https://www.mbta.com/stops/2042,,0,,1,Watertown,Mount Auburn Street,Franklin Street,3.0,[]
2043,2043.0,Mt Auburn St @ Marshall St,,,,42.367918,-71.17901,LocalBus,,https://www.mbta.com/stops/2043,,0,,0,Watertown,Mount Auburn Street,Marshall Street,3.0,[]
2044,2044.0,Mt Auburn St @ Summer St,,,,42.366608,-71.181318,LocalBus,,https://www.mbta.com/stops/2044,,0,,1,Watertown,Mount Auburn Street,Patten Street,3.0,[]
2046,2046.0,Mt Auburn St @ Main St,,,,42.36552,-71.184058,LocalBus,,https://www.mbta.com/stops/2046,,0,,1,Watertown,Mount Auburn Street,North Beacon Street,3.0,[]
2047,2047.0,Mt Auburn St @ Bates Rd E,,,,42.369064,-71.174098,LocalBus,,https://www.mbta.com/stops/2047,,0,,0,Watertown,Mount Auburn Street,Walnut Street,3.0,[]
2048,2048.0,Mt Auburn St @ Main St,,,,42.365489,-71.183729,LocalBus,,https://www.mbta.com/stops/2048,,0,,1,Watertown,Mount Auburn Street,North Beacon Street,3.0,[]
2049,2049.0,Mt Auburn St @ Patten St,,,,42.366566,-71.181182,LocalBus,,https://www.mbta.com/stops/2049,,0,,1,Watertown,Mount Auburn Street,Patten Street,3.0,[]
2050,2050.0,Mt Auburn St @ Parker St,,,,42.367937,-71.178736,LocalBus,,https://www.mbta.com/stops/2050,,0,,0,Watertown,Mount Auburn Street,Parker Street,3.0,[]
2051,2051.0,Mt Auburn St @ Franklin St,,,,42.368385,-71.176092,LocalBus,,https://www.mbta.com/stops/2051,,0,,1,Watertown,Mount Auburn Street,Franklin Street,3.0,[]
2052,2052.0,Mt Auburn St @ Walnut St,,,,42.368947,-71.17398,LocalBus,,https://www.mbta.com/stops/2052,,0,,0,Watertown,Mount Auburn Street,Walnut Street,3.0,[]
2054,2054.0,Mt Auburn St @ Boylston St,,,,42.36997,-71.170803,LocalBus,,https://www.mbta.com/stops/2054,,0,,1,Watertown,Mount Auburn Street,Boylston Street,3.0,[]
2056,2056.0,Mt Auburn St @ Winthrop St,,,,42.369923,-71.167329,LocalBus,,https://www.mbta.com/stops/2056,,0,,1,Watertown,Mount Auburn Street,Winthrop Street,3.0,[]
2057,2057.0,Mt Auburn St @ School St,,,,42.370622,-71.164816,LocalBus,,https://www.mbta.com/stops/2057,,0,,1,Watertown,Mount Auburn Street,School Street,3.0,[]
2058,2058.0,Mt Auburn St @ Adams St,,,,42.370401,-71.161446,LocalBus,,https://www.mbta.com/stops/2058,,0,,1,Watertown,Mount Auburn Street,Adams Street,3.0,[]
2060,2060.0,Mt Auburn St @ Bigelow Ave,,,,42.371186,-71.157955,LocalBus,,https://www.mbta.com/stops/2060,,0,,0,Watertown,Mount Auburn Street,Kimball Road,3.0,[]
2061,2061.0,Mt Auburn St opp Keenan St,,,,42.37273,-71.154963,LocalBus,,https://www.mbta.com/stops/2061,,0,,1,Watertown,Mount Auburn Street,Keenan Street,3.0,[]
20618,20618.0,Washington St opp Holiday Inn,,,,42.231509,-71.184959,LocalBus,,https://www.mbta.com/stops/20618,,0,,1,Dedham,Washington Street,,3.0,[]
20619,20619.0,Washington St @ Gay St,,,,42.228642,-71.186133,LocalBus,,https://www.mbta.com/stops/20619,,0,,1,Dedham,Washington Street,,3.0,[]
2062,2062.0,Mt Auburn St @ Cottage St,,,,42.374061,-71.151351,LocalBus,,https://www.mbta.com/stops/2062,,0,,0,Watertown,Mount Auburn Street,Cottage Street,3.0,[]
20620,20620.0,Washington St opp Waldo Way,,,,42.222293,-71.187526,LocalBus,,https://www.mbta.com/stops/20620,,0,,1,Westwood,Washington Street,Waldo Way,3.0,[]
2064,2064.0,Mt Auburn St opp Homer Ave,,,,42.374908,-71.147889,LocalBus,,https://www.mbta.com/stops/2064,,0,,1,Cambridge,Mount Auburn Street,Homer Avenue,3.0,[]
2066,2066.0,Mt Auburn St opp Brattle St,,,,42.375348,-71.142971,LocalBus,,https://www.mbta.com/stops/2066,,0,,0,Cambridge,Mount Auburn Street,Brattle Street,3.0,[]
2067,2067.0,Mt Auburn St @ Coolidge Ave,,,,42.374897,-71.13997,LocalBus,,https://www.mbta.com/stops/2067,,0,,1,Cambridge,Mount Auburn Street,Coolidge Avenue,3.0,[]
2068,2068.0,Mt Auburn St opp Traill St,,,,42.374987,-71.136551,LocalBus,,https://www.mbta.com/stops/2068,,0,,1,Cambridge,Mount Auburn Street,Traill Street,3.0,[]
2070,2070.0,Mt Auburn St @ Mt Auburn Hospital,,,,42.374897,-71.134872,LocalBus,,https://www.mbta.com/stops/2070,,0,,1,Cambridge,Mount Auburn Street,Channing Street,3.0,[]
2071,2071.0,Mt Auburn St opp Sparks St,,,,42.374625,-71.130712,LocalBus,,https://www.mbta.com/stops/2071,,0,,1,Cambridge,Mount Auburn Street,Sparks Street,3.0,[]
2073,2073.0,Mt Auburn St @ Brewer St,,,,42.373956,-71.124752,LocalBus,,https://www.mbta.com/stops/2073,,0,,1,Cambridge,Mount Auburn Street,Brewer Street,3.0,[]
2074,2074.0,Mt Auburn St @ University Rd,,,,42.373051,-71.122407,LocalBus,,https://www.mbta.com/stops/2074,,0,,1,Cambridge,Mount Auburn Street,Harvard Busway,3.0,[]
2077,2077.0,Aberdeen Ave @ Mt Auburn St,,,,42.375543,-71.145767,LocalBus,,https://www.mbta.com/stops/2077,,0,,1,Cambridge,Aberdeen Avenue,Aberdeen Court,3.0,[]
2078,2078.0,61 Aberdeen Ave,,,,42.376545,-71.146202,LocalBus,,https://www.mbta.com/stops/2078,,0,,1,Cambridge,Aberdeen Avenue,Aberdeen Court,3.0,[]
208,208.0,Summer St @ Powerhouse St,,,,42.340464,-71.035651,LocalBus,,https://www.mbta.com/stops/208,,0,,1,Boston,Summer Street,Power House Street,3.0,[]
2080,2080.0,Huron Ave @ Larch Rd,,,,42.380218,-71.14328,LocalBus,,https://www.mbta.com/stops/2080,,0,,1,Cambridge,Huron Avenue,Larch Road,3.0,[]
2082,2082.0,Huron Ave @ Lakeview Ave,,,,42.380851,-71.140111,LocalBus,,https://www.mbta.com/stops/2082,,0,,1,Cambridge,Huron Avenue,Lakeview Avenue,3.0,[]
2083,2083.0,Huron Ave @ Gurney St,,,,42.381198,-71.137926,LocalBus,,https://www.mbta.com/stops/2083,,0,,1,Cambridge,Huron Avenue,Chilton Street,3.0,[]
2085,2085.0,Huron Ave @ Appleton St,,,,42.381431,-71.133927,LocalBus,,https://www.mbta.com/stops/2085,,0,,1,Cambridge,Huron Avenue,Appleton Street,3.0,[]
2090,2090.0,Huron Ave @ Appleton St,,,,42.381563,-71.134242,LocalBus,,https://www.mbta.com/stops/2090,,0,,1,Cambridge,Huron Avenue,Vassal Lane,3.0,[]
2092,2092.0,Huron Ave @ Chilton St,,,,42.38129,-71.138011,LocalBus,,https://www.mbta.com/stops/2092,,0,,1,Cambridge,Huron Avenue,Chilton Street,3.0,[]
2093,2093.0,Huron Ave @ Lakeview Ave,,,,42.380926,-71.140218,LocalBus,,https://www.mbta.com/stops/2093,,0,,1,Cambridge,Huron Avenue,Lakeview Avenue,3.0,[]
2095,2095.0,Huron Ave @ Larch Rd,,,,42.380242,-71.14372,LocalBus,,https://www.mbta.com/stops/2095,,0,,1,Cambridge,Huron Avenue,Larch Road,3.0,[]
2096,2096.0,Aberdeen Ave @ Huron Ave,,,,42.378569,-71.147434,LocalBus,,https://www.mbta.com/stops/2096,,0,,1,Cambridge,Aberdeen Avenue,Huron Avenue,3.0,[]
2097,2097.0,Aberdeen Ave @ Aberdeen Way,,,,42.376937,-71.146734,LocalBus,,https://www.mbta.com/stops/2097,,0,,1,Cambridge,Aberdeen Avenue,Mount Auburn Street,3.0,[]
2098,2098.0,Aberdeen Ave @ Mt Auburn St,,,,42.375483,-71.146112,LocalBus,,https://www.mbta.com/stops/2098,,0,,1,Cambridge,Aberdeen Avenue,Mount Auburn Street,3.0,[]
2099,2099.0,Trapelo Rd @ Church St,,,,42.3875,-71.189976,LocalBus,,https://www.mbta.com/stops/2099,,0,,1,Belmont,Trapelo Road,Church Street,3.0,[]
21,21.0,E Broadway @ G St,,,,42.335423,-71.044136,LocalBus,,https://www.mbta.com/stops/21,,0,,1,Boston,East Broadway,G Street,3.0,[]
210,210.0,Summer St @ Drydock Ave,,,,42.344381,-71.039016,LocalBus,,https://www.mbta.com/stops/210,,0,,1,Boston,Summer Street,,3.0,[]
2101,2101.0,Trapelo Rd @ Sycamore St,,,,42.386537,-71.186867,LocalBus,,https://www.mbta.com/stops/2101,,0,,1,Belmont,Trapelo Road,Sycamore Street,3.0,[]
2102,2102.0,Trapelo Rd @ Beech St,,,,42.385457,-71.183865,LocalBus,,https://www.mbta.com/stops/2102,,0,,1,Belmont,Trapelo Road,Beech Street,3.0,[]
2103,2103.0,Trapelo Rd @ Walnut St,,,,42.384554,-71.182453,LocalBus,,https://www.mbta.com/stops/2103,,0,,1,Belmont,Trapelo Road,Walnut Street,3.0,[]
2104,2104.0,Trapelo Rd @ Bartlett Ave,,,,42.382468,-71.180216,LocalBus,,https://www.mbta.com/stops/2104,,0,,1,Belmont,Trapelo Road,Slade Street,3.0,[]
2106,2106.0,Trapelo Rd @ Williston Rd - Cushing Square,,,,42.380985,-71.175891,LocalBus,,https://www.mbta.com/stops/2106,,0,,1,Belmont,Trapelo Road,Williston Road,3.0,[]
2107,2107.0,36 Trapelo Rd,,,,42.379567,-71.172859,LocalBus,,https://www.mbta.com/stops/2107,,0,,1,Belmont,Trapelo Road,Willow Street,3.0,[]
2108,2108.0,Trapelo Rd @ Belmont St - Benton Square,,,,42.378279,-71.170735,LocalBus,,https://www.mbta.com/stops/2108,,0,,1,Belmont,Belmont Street,Trapelo Road,3.0,[]
2110,2110.0,Belmont St opp Payson Rd,,,,42.377172,-71.166499,LocalBus,,https://www.mbta.com/stops/2110,,0,,1,Belmont,Belmont Street,Payson Road,3.0,[]
2112,2112.0,Belmont St @ Langdon Ave,,,,42.376769,-71.162707,LocalBus,,https://www.mbta.com/stops/2112,,0,,1,Belmont,Belmont Street,Newton Street,3.0,[]
2113,2113.0,Belmont St @ Woodleigh Rd,,,,42.376564,-71.160444,LocalBus,,https://www.mbta.com/stops/2113,,0,,1,Belmont,Belmont Street,Woodleigh Road,3.0,[]
21148,21148.0,Malcolm X Blvd @ Tremont St,,,,42.331345,-71.093318,LocalBus,,https://www.mbta.com/stops/21148,,0,,1,Boston,Malcolm X Blvd,King Street,3.0,[]
2115,2115.0,Belmont St @ Prentiss St,,,,42.375529,-71.156581,LocalBus,,https://www.mbta.com/stops/2115,,0,,1,Belmont,Belmont Street,Prentiss Street,3.0,[]
21151,21151.0,Warren St @ Kearsarge Ave,,,,42.327349,-71.083021,LocalBus,,https://www.mbta.com/stops/21151,,0,,1,Boston,Warren Street,Kearsarge Avenue,3.0,[]
21158,21158.0,Harrison Ave opp Plympton St,,,,42.339855,-71.069091,LocalBus,,https://www.mbta.com/stops/21158,,0,,1,Boston,Harrison Avenue,Plympton Street,3.0,[]
