stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,station_id_additional
9070022,,State,State - Orange Line Shuttle - Congress St @ State St,,Orange Line Shuttle,42.359131,-71.056756,,,,,0,,1,Boston,Congress Street,State Street,3.0,"""['place-state', '70022', '70023', '70041', '70042', 'node-374-lobby', 'node-374-nbplatform', 'node-501-nbplatform', 'node-501-sbplatform', 'node-502-landing', 'node-502-sbplatform', 'node-523-sbplatform', 'node-523-street', 'node-6-landing', 'node-6-nbplatform', 'node-802-nbplatform', 'node-802-sbplatform', 'node-803-sbplatform', 'node-803-street', 'node-967-nbplatform', 'node-967-sbplatform', 'node-974-street', 'node-974-wbplatform', 'node-975-ebplatform', 'node-ogcityhallstairs-lobby', 'node-ogcityhallstairs-nbplatform', 'node-state-bowdoinoldstatestairs-landing', 'node-state-bowdoinoldstatestairs-wbplatform', 'node-state-bowdoinramp-nbplatform', 'node-state-bowdoinramp-wbplatform', 'node-state-cityhall-farepaid', 'node-state-cityhall-fareunpaid', 'node-state-congress-farepaid', 'node-state-congress-fareunpaid', 'node-state-congressstairs-street', 'node-state-congressstairs-wbplatform', 'node-state-exchange-farepaid', 'node-state-exchange-fareunpaid', 'node-state-exchangestairs-ebplatform', 'node-state-milk-farepaid', 'node-state-milk-fareunpaid', 'node-state-milkmidstairs-landing', 'node-state-milkmidstairs-street', 'node-state-milkststairs-lobby', 'node-state-ogoldstatehousestairs-landing', 'node-state-ogoldstatehousestairs-nbplatform', 'node-state-oldstate-farepaid', 'node-state-oldstate-fareunpaid', 'node-state-oldstateogministairs-landing', 'node-state-oldstateogministairs-street', 'node-state-oldstatepassageministairs-landing', 'node-state-oldstatepassageministairs-street', 'node-state-olnbplatformstairsmain-nbplatform', 'node-state-olnbplatformstairsmain-sbplatform', 'node-state-olnbplatformstairssec-nbplatform', 'node-state-olnbplatformstairssec-sbplatform', 'node-state-olpassagestairs-nbplatform', 'node-state-olpassagestairs-sbplatform', 'node-state-passageoldstatehousestairs-landing', 'node-state-passageoldstatehousestairs-sbplatform', 'node-state-statestreetstairs-lobby', 'node-state-water-farepaid', 'node-state-water-fareunpaid', 'node-state-waterststairs-lobby', 'node-state-wonderlandoldstatestairs-ebplatform', 'node-state-wonderlandoldstatestairs-landing']"""
9070024,,Haymarket - Congress St opp Hanover St,Haymarket - Orange Line Forest Hills Shuttle - Congress St opp Hanover St,,Forest Hills Shuttle,42.361133,-71.057643,,,,,0,,1,Boston,Congress Street,Hanover Street,3.0,[]
9070026,,North Station,North Station - Orange Line Shuttle - Haverhill St @ Causeway St,,Orange Line Shuttle,42.365608,-71.060426,,,,,0,,1,Boston,Haverhill Street,Causeway Street,3.0,"""['9070027', 'place-north', '70026', '70027', '70205', '70206', 'BNT-0000', 'BNT-0000-01', 'BNT-0000-02', 'BNT-0000-03', 'BNT-0000-04', 'BNT-0000-05', 'BNT-0000-06', 'BNT-0000-07', 'BNT-0000-08', 'BNT-0000-09', 'BNT-0000-10', 'node-302-bottom', 'node-302-top', 'node-303-bottom', 'node-303-top', 'node-304-bottom', 'node-304-top', 'node-384-bottom', 'node-384-top', 'node-385-bottom', 'node-385-top', 'node-391-bottom', 'node-391-top', 'node-392-bottom', 'node-392-top', 'node-393-bottom', 'node-393-top', 'node-447-bottom', 'node-447-top', 'node-731-bottom', 'node-731-top', 'node-732-bottom', 'node-732-top', 'node-909-bottom', 'node-909-top', 'node-910-bottom', 'node-910-top', 'node-911-bottom', 'node-911-top', 'node-912-bottom', 'node-912-top', 'node-north-causeway-farepaid', 'node-north-causeway-fareunpaid', 'node-north-causeway-lobby', 'node-north-causewayexite-farepaid', 'node-north-causewayexite-fareunpaid', 'node-north-causewayexitw-farepaid', 'node-north-causewayexitw-fareunpaid', 'node-north-causewayoakgrove-stairs-bottom', 'node-north-causewayoakgrove-stairs-top', 'node-north-causewaystairs-bottom', 'node-north-causewaystairs-top', 'node-north-centerstairs-bottom', 'node-north-centerstairs-top', 'node-north-cr-lobby', 'node-north-crgates-main-farepaid', 'node-north-crgates-main-fareunpaid', 'node-north-crgates-west-farepaid', 'node-north-crgates-west-fareunpaid', 'node-north-eastramp-bottom', 'node-north-eastramp-top', 'node-north-eaststairs-bottom', 'node-north-eaststairs-top', 'node-north-ecausewayexitstairs-bottom', 'node-north-ecausewayexitstairs-top', 'node-north-evalentiexitstairs-bottom', 'node-north-evalentiexitstairs-top', 'node-north-northstairs-bottom', 'node-north-northstairs-top', 'node-north-passageway-cr', 'node-north-passageway-subway', 'node-north-passagewaystairs-bottom', 'node-north-passagewaystairs-top', 'node-north-southstairs-bottom', 'node-north-southstairs-top', 'node-north-valenti-farepaid', 'node-north-valenti-fareunpaid', 'node-north-valenti-lobby', 'node-north-valenti-streetstairs-bottom', 'node-north-valenti-streetstairs-top', 'node-north-valentiexite-farepaid', 'node-north-valentiexite-fareunpaid', 'node-north-valentiexitw-farepaid', 'node-north-valentiexitw-fareunpaid', 'node-north-valentioakgrove-stairs-bottom', 'node-north-valentioakgrove-stairs-top', 'node-north-wcausewayexitstairs-bottom', 'node-north-wcausewayexitstairs-top', 'node-north-wvalentiexitstairs-bottom', 'node-north-wvalentiexitstairs-top']"""
9070028,,Community College - Rutherford Ave @ Austin St,Community College - Orange Line Forest Hills Shuttle - Rutherford Ave @ Austin St,,Forest Hills Shuttle,42.374668,-71.06832,,,,,0,,1,Boston,Rutherford Avenue,Austin Street,3.0,"""['9070029']"""
9070039,,Government Center - Cambridge St @ Sudbury St,Government Center - Shuttle - Cambridge St @ Sudbury St,,Shuttle,42.360756,-71.06064,,,,,0,,1,Boston,Cambridge Street,Sudbury Street,3.0,[]
9070043,,Aquarium - Surface Rd @ State St,Aquarium - Blue Line Shuttle - Surface Rd @ State St,,Blue Line Shuttle,42.359756,-71.052605,,,,,0,,1,Boston,Surface Road,State Street,3.0,[]
9070045,,Maverick,Maverick - Blue Line Government Center Shuttle,,Government Center Shuttle,42.369579,-71.039179,,,,,0,,1,Boston,Maverick Square,Winthrop Street,3.0,"""['9070046', 'place-mvbcl', '70045', '70046', 'node-428-entrance', 'node-428-lobby', 'node-429-entrance', 'node-429-lobby', 'node-433-entrance', 'node-433-lobby', 'node-434-entrance', 'node-434-lobby', 'node-965-entrance', 'node-965-lobby', 'node-966-entrance', 'node-966-lobby', 'node-mvbcl-lewfarepaid', 'node-mvbcl-lewfareunpaid', 'node-mvbcl-lewstair-entrance', 'node-mvbcl-lewstair-lobby', 'node-mvbcl-msqfarepaid', 'node-mvbcl-msqfareunpaid', 'node-mvbcl-msqstair-entrance', 'node-mvbcl-msqstair-lobby']"""
9070053,,Suffolk Downs - Bennington St opp Leverett Ave,Suffolk Downs - Blue Line Southbound Shuttle - Bennington St opp Leverett Ave,,Southbound Shuttle,42.390264,-70.996908,,,,,0,,1,Boston,Bennington Street,Leverett Avenue,3.0,[]
9070054,,Suffolk Downs - Bennington St @ Leverett Ave,Suffolk Downs - Blue Line Wonderland Shuttle - Bennington St @ Leverett Ave,,Wonderland Shuttle,42.390137,-70.99681,,,,,0,,1,Boston,Bennington Street,Leverett Avenue,3.0,[]
9070055,,Beachmont - State Rd @ Winthrop Ave,Beachmont - Blue Line Southbound Shuttle - State Rd @ Winthrop Ave,,Southbound Shuttle,42.397706,-70.992052,,,,,0,,1,Revere,State Road,Winthrop Avenue,3.0,[]
