"service_id","date","exception_type"
"0FB0C1A7","20250530","1"
"0FB0C1A7","20250602","1"
"0FB0C1A7","20250603","1"
"0FB0C1A7","20250604","1"
"0FB0C1A7","20250605","1"
"0FB0C1A7","20250606","1"
"0FB0C1A7","20250609","1"
"0FB0C1A7","20250610","1"
"0FB0C1A7","20250611","1"
"0FB0C1A7","20250612","1"
"0FB0C1A7","20250613","1"
"0FB0C1A7","20250616","1"
"0FB0C1A7","20250617","1"
"0FB0C1A7","20250618","1"
"0FB0C1A7","20250619","1"
"0FB0C1A7","20250620","1"
"0FB0C1A7","20250623","1"
"0FB0C1A7","20250624","1"
"0FB0C1A7","20250625","1"
"0FB0C1A7","20250626","1"
"0FB0C1A7","20250627","1"
"0FB0C1A7","20250630","1"
"0FB0C1A7","20250701","1"
"0FB0C1A7","20250702","1"
"0FB0C1A7","20250703","1"
"0FB0C1A7","20250707","1"
"0FB0C1A7","20250708","1"
"0FB0C1A7","20250709","1"
"0FB0C1A7","20250710","1"
"0FB0C1A7","20250711","1"
"0FB0C1A7","20250714","1"
"0FB0C1A7","20250715","1"
"0FB0C1A7","20250716","1"
"0FB0C1A7","20250717","1"
"0FB0C1A7","20250718","1"
"0FB0C1A7","20250721","1"
"0FB0C1A7","20250722","1"
"0FB0C1A7","20250723","1"
"0FB0C1A7","20250724","1"
"0FB0C1A7","20250725","1"
"0FB0C1A7","20250728","1"
"0FB0C1A7","20250729","1"
"0FB0C1A7","20250730","1"
"0FB0C1A7","20250731","1"
"0FB0C1A7","20250801","1"
"0FB0C1A7","20250804","1"
"0FB0C1A7","20250805","1"
"0FB0C1A7","20250806","1"
"0FB0C1A7","20250807","1"
"0FB0C1A7","20250808","1"
"0FB0C1A7","20250811","1"
"0FB0C1A7","20250812","1"
"0FB0C1A7","20250813","1"
"0FB0C1A7","20250814","1"
"0FB0C1A7","20250815","1"
"0FB0C1A7","20250818","1"
"0FB0C1A7","20250819","1"
"0FB0C1A7","20250820","1"
"0FB0C1A7","20250821","1"
"0FB0C1A7","20250822","1"
"0FB0C1A7","20250825","1"
"0FB0C1A7","20250826","1"
"0FB0C1A7","20250827","1"
"0FB0C1A7","20250828","1"
"0FB0C1A7","20250829","1"
"BDECEEFB","20250531","1"
"BDECEEFB","20250601","1"
"BDECEEFB","20250607","1"
"BDECEEFB","20250608","1"
"BDECEEFB","20250614","1"
"BDECEEFB","20250615","1"
"BDECEEFB","20250621","1"
"BDECEEFB","20250622","1"
"BDECEEFB","20250628","1"
"BDECEEFB","20250629","1"
"BDECEEFB","20250704","1"
"BDECEEFB","20250705","1"
"BDECEEFB","20250706","1"
"BDECEEFB","20250712","1"
"BDECEEFB","20250713","1"
"BDECEEFB","20250719","1"
"BDECEEFB","20250720","1"
"BDECEEFB","20250726","1"
"BDECEEFB","20250727","1"
"BDECEEFB","20250802","1"
"BDECEEFB","20250803","1"
"BDECEEFB","20250809","1"
"BDECEEFB","20250810","1"
"BDECEEFB","20250816","1"
"BDECEEFB","20250817","1"
"BDECEEFB","20250823","1"
"BDECEEFB","20250824","1"
"BDECEEFB","20250830","1"
"BDECEEFB","20250831","1"
"BDECEEFB","20250901","1"
"5B12B469","20250602","1"
"5B12B469","20250609","1"
"5B12B469","20250616","1"
"5B12B469","20250623","1"
"5B12B469","20250630","1"
"5B12B469","20250707","1"
"5B12B469","20250714","1"
"5B12B469","20250721","1"
"5B12B469","20250728","1"
"5B12B469","20250804","1"
"5B12B469","20250811","1"
"5B12B469","20250818","1"
"5B12B469","20250825","1"
"2A986CA7","20250530","1"
"2A986CA7","20250606","1"
"2A986CA7","20250613","1"
"2A986CA7","20250620","1"
"2A986CA7","20250627","1"
"2A986CA7","20250703","1"
"2A986CA7","20250711","1"
"2A986CA7","20250718","1"
"2A986CA7","20250725","1"
"2A986CA7","20250801","1"
"2A986CA7","20250808","1"
"2A986CA7","20250815","1"
"2A986CA7","20250822","1"
"2A986CA7","20250829","1"
"078E2335","20250530","1"
"078E2335","20250605","1"
"078E2335","20250606","1"
"078E2335","20250612","1"
"078E2335","20250613","1"
"078E2335","20250619","1"
"078E2335","20250620","1"
"078E2335","20250626","1"
"078E2335","20250627","1"
"078E2335","20250702","1"
"078E2335","20250703","1"
"078E2335","20250710","1"
"078E2335","20250711","1"
"078E2335","20250717","1"
"078E2335","20250718","1"
"078E2335","20250724","1"
"078E2335","20250725","1"
"078E2335","20250731","1"
"078E2335","20250801","1"
"078E2335","20250807","1"
"078E2335","20250808","1"
"078E2335","20250814","1"
"078E2335","20250815","1"
"078E2335","20250821","1"
"078E2335","20250822","1"
"078E2335","20250828","1"
"078E2335","20250829","1"
"8ADB21BF","20250605","1"
"8ADB21BF","20250612","1"
"8ADB21BF","20250618","1"
"8ADB21BF","20250619","1"
"8ADB21BF","20250626","1"
"8ADB21BF","20250702","1"
"8ADB21BF","20250710","1"
"8ADB21BF","20250717","1"
"8ADB21BF","20250724","1"
"8ADB21BF","20250731","1"
"8ADB21BF","20250807","1"
"8ADB21BF","20250814","1"
"8ADB21BF","20250821","1"
"8ADB21BF","20250828","1"
"B2AAD66A","20250530","1"
"B2AAD66A","20250603","1"
"B2AAD66A","20250604","1"
"B2AAD66A","20250605","1"
"B2AAD66A","20250606","1"
"B2AAD66A","20250610","1"
"B2AAD66A","20250611","1"
"B2AAD66A","20250612","1"
"B2AAD66A","20250613","1"
"B2AAD66A","20250617","1"
"B2AAD66A","20250618","1"
"B2AAD66A","20250619","1"
"B2AAD66A","20250620","1"
"B2AAD66A","20250624","1"
