,stop_name,stopping_routes,304 (Harlem),304 (Harlem) Times
86,Darien,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
87,Rowayton,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
88,South Norwalk,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
89,Merritt 7,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
90,Wilton,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
91,Cannondale,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
92,Branchville,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
93,Redding,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
94,Bethel,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
95,Danbury,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
96,East Norwalk,['New Haven'],,2024-12-17 05:33:00
97,Westport,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
98,Green's Farms,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
99,Southport,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
100,Fairfield,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
101,Fairfield-Black Rock,"['New Haven', 'Danbury']",,2024-12-17 05:33:00
102,Bridgeport,"['New Haven', 'Danbury','Waterbury']",,2024-12-17 05:33:00
103,Stratford,"['New Haven', 'Danbury','Waterbury']",,2024-12-17 05:33:00
104,Derby-Shelton,['Waterbury'],,2024-12-17 05:33:00
105,Ansonia,['Waterbury'],,2024-12-17 05:33:00
106,Seymour,['Waterbury'],,2024-12-17 05:33:00
107,Beacon Falls,['Waterbury'],,2024-12-17 05:33:00
108,Naugatuck,['Waterbury'],,2024-12-17 05:33:00
109,Waterbury,['Waterbury'],,2024-12-17 05:33:00
110,Milford,['New Haven'],,2024-12-17 05:33:00
111,West Haven,['New Haven'],,2024-12-17 05:33:00
112,New Haven,['New Haven'],,2024-12-17 05:33:00
113,New Haven-State St,['New Haven'],,2024-12-17 05:33:00
